	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx
2294	Fasting Glucose measurement	fasting blood glucose measurement	EFO:0004465	36280733	Mixed	17763.0	EUR	Ascertained Q	Mixed N	2294
2295	Glucose	glucose	CHEBI:17234	36280733	Mixed	17763.0	EUR	Ascertained Q	Mixed N	2295
2297	Glucose	glucose	CHEBI:17234	36088354	UKB	167915.0	EUR	Population Q		2297
2298	Fasting glucose measurement	fasting blood glucose measurement	EFO:0004465	36303018	TOPMed	21015.0	Mixed	Population Q		2298
2299	HbA1C measurement	HbA1c measurement	EFO:0004541	36280733	Mixed	48677.0	EUR	Ascertained Q	Mixed N	2299
2303	Unspecified staphas the cause of diseases classified to other chapters	respiratory system disease	EFO:0000684	34375979	UKB	281104.0	EUR	Population CC/Q		2303
2313	Creatinine_enzymatic_in_urine measurement	creatinine clearance measurement	EFO:0007934	37262146	UKB	410070.0	EUR	Population Q	Mixed Q/CC	2313
2317	Mean platelet (thrombocyte) volume	mean platelet volume	EFO:0004584	31992710	UKB	49795.0	EUR	Population Q	Mixed Q/CC	2317
2318	Panic disorder [episodic paroxanxiety]	panic disorder	EFO:0004262	34375979	UKB	281104.0	EUR	Population CC/Q		2318
2320	IGF-1 measurement	IGF-1 measurement	EFO:0004627	36088354	UKB	181758.0	EUR	Population Q		2320
2321	Glucose	glucose	CHEBI:17234	35177841	UKB	175213.0	EUR	Population Q		2321
2323	LDL	LDL cholesterol	EFO:0004195	35177841	UKB	190350.0	EUR	Population Q		2323
2324	Glycated haemoglobin (hba1c) (+4) measurement	HbA1c measurement	EFO:0004541	36088354	UKB	182493.0	EUR	Population Q		2324
2325	Body mass index (bmi)	body mass index	EFO:0004340	36138231	UKB	166411.0	EUR	Population Q	Mixed Q/CC	2325
2326	Obesity	obesity	EFO:0001073	29273807	Meta	526508.0	EUR	Population Q	> 80% EUR	2326
2330	Pain in limb (hand	Limb pain	HP:0009763	34375979	UKB	281104.0	EUR	Population CC/Q		2330
2331	Post-natal depression	postpartum depression	EFO:0007453	34375979	UKB	281104.0	EUR	Population CC/Q		2331
2333	Varicose veins	Varicose veins	HP:0002619	34375979	UKB	281104.0	EUR	Population CC/Q		2333
2335	Urinartract infection|kidneinfection	infection	EFO:0000544	34375979	UKB	281104.0	EUR	Population CC/Q		2335
2336	Aspartate aminotransferase measurement	aspartate aminotransferase, cytoplasmic measurement	EFO:0008031	31992710	UKB	48205.0	EUR	Population Q	Mixed Q/CC	2336
2337	Platelet count	platelet count	EFO:0004309	33257650	UKB	487409.0	EUR	Population Q		2337
2339	Platelet count	platelet count	EFO:0004309	31992710	UKB	50129.0	EUR	Population Q	Mixed Q/CC	2339
2340	Perforation of intestine (nontraumatic	intestinal perforation	EFO:1000987	34375979	UKB	39307.0	EUR	Population CC/Q		2340
2341	Potassium_in_urine measurement	urinary potassium measurement	EFO:0010952	37262146	UKB	409203.0	EUR	Population Q	Mixed Q/CC	2341
2342	LNLVMHT27	left ventricular mass	EFO:0009289	33679876	HyperGEN	1364.0	AFR	Ascertained Q		2342
2343	Spondunspecified (lumbosacral region	lumbosacral plexus lesion	MONDO:0001829	34375979	UKB	281104.0	EUR	Population CC/Q		2343
2345	Gestational [pregnanchwith significant proteinuria	Proteinuria	HP:0000093	34375979	UKB	281104.0	EUR	Population CC/Q		2345
2346	Phlebitis and thrombophlebitis of lower eunspecified	Phlebitis	EFO:1001395	34375979	UKB	281104.0	EUR	Population CC/Q		2346
2348	Inflammatory bowel disease	inflammatory bowel disease	EFO:0003767	36138231	UKB	166960.0	EUR	Population CC	Mixed Q/CC	2348
2350	Alanine aminotransferase measurement	alanine aminotransferase 1 measurement	EFO:0802260	31992710	UKB	48292.0	EUR	Population Q	Mixed Q/CC	2350
2351	Alanine aminotransferase (+1) measurement	alanine aminotransferase 1 measurement	EFO:0802260	36088354	UKB	182674.0	EUR	Population Q		2351
2353	Varicose veins of lower ewith inflammation	Varicose veins	HP:0002619	34375979	UKB	281104.0	EUR	Population CC/Q		2353
2354	Alzheimer’s	Alzheimer disease	MONDO:0004975	26394601	NCRAD	77.0	EUR	Ascertained CC	Family based	2354
2355	Heart attack|minfarction	heart transplant rejection	EFO:0003046	34375979	UKB	281104.0	EUR	Population CC/Q		2355
2356	Traumatic amputation of other single finger (complete)(partial	amputation	EFO:0009632	34375979	UKB	281104.0	EUR	Population CC/Q		2356
2358	LDLC measurement	low density lipoprotein cholesterol measurement	EFO:0004611	36419110	Finnish	738.0	EUR	Ascertained Q	T1D patients	2358
2359	NON-HDLC	NHDL cholesterol	EFO:0005688	36419110	Finnish	919.0	EUR	Ascertained Q	T1D patients	2359
2360	Low back pain (sacral and sacrococcregion	Low back pain	HP:0003419	34375979	UKB	281104.0	EUR	Population CC/Q		2360
2366	Blood pressure	blood pressure	EFO:0004325	27980654	GAW19	1851.0	AMX	Population Q	Mexican american	2366
2367	Diastolic blood pressure+systolic blood pressure	diastolic blood pressure	EFO:0006336	27980654	GAW19	1851.0	AMX	Population Q	Mexican american	2367
2368	Thalassaemia	Alpha-thalassemia	Orphanet:846	31992710	UKB	63758.0	EUR	Population CC	Mixed Q/CC	2368
2370	Mean corpuscular haemoglobin	mean corpuscular hemoglobin	EFO:0004527	31992710	UKB	50101.0	EUR	Population Q	Mixed Q/CC	2370
2371	Haemoglobin concentration	mean corpuscular hemoglobin concentration	EFO:0004528	31992710	UKB	50165.0	EUR	Population Q	Mixed Q/CC	2371
2372	Mean corpuscular haemoglobin concentration	mean corpuscular hemoglobin concentration	EFO:0004528	31992710	UKB	50100.0	EUR	Population Q	Mixed Q/CC	2372
2373	Mean corpuscular volume	mean corpuscular volume	EFO:0004526	31992710	UKB	50100.0	EUR	Population Q	Mixed Q/CC	2373
2374	Red blood cell (erythrocyte) count	erythrocyte count	EFO:0004305	31992710	UKB	50102.0	EUR	Population Q	Mixed Q/CC	2374
2375	Red blood cell (erythrocyte) distribution width	Red cell distribution width	EFO:0009188	31992710	UKB	39306.0	EUR	Population Q	Mixed Q/CC	2375
2376	Mean sphered cell volume	mean corpuscular volume	EFO:0004526	31992710	UKB	37523.0	EUR	Population Q	Mixed Q/CC	2376
2377	Glycated haemoglobin (hba1c) measurement	HbA1c measurement	EFO:0004541	36088354	UKB	182493.0	EUR	Population Q		2377
2378	Cognitive performance	psychomotor performance	EFO:0004362	20876667	Review					2378
2381	Mean corpuscular volume	mean corpuscular volume	EFO:0004526	20876667	Review					2381
2382	Hematocrit	hematocrit	EFO:0004348	20876667	Review					2382
2383	Hemoglobin measurement	hemoglobin measurement	EFO:0004509	20876667	Review					2383
2385	Psoriasis	psoriasis	EFO:0000676	20876667	Review					2385
2386	Liver|hepatocellular cancer	liver cancer	MONDO:0002691	34375979	UKB	281104.0	EUR	Population CC/Q		2386
2387	Psoriasis vulgaris	psoriasis vulgaris	EFO:1001494	36138231	UKB	163293.0	EUR	Population CC	Mixed Q/CC	2387
2389	Toid arthritis	rheumatoid arthritis	EFO:0000685	20549515	WTCCC	4798.0	EUR	Ascertained CC		2389
2392	SHBG (+1) measurement	sex hormone-binding globulin measurement	EFO:0004696	36088354	UKB	166520.0	EUR	Population Q		2392
2396	Prostate cancer	prostate cancer	MONDO:0008315	36138231	UKB	75309.0	EUR	Population CC	Mixed Q/CC	2396
2397	Prostate cancer	prostate cancer	MONDO:0008315	34244158	MyCode	8432.0	EUR	Population CC	Mixed N	2397
2398	Spondunspecified (cervical region	cervical neck region	EFO:0001408	34375979	UKB	281104.0	EUR	Population CC/Q		2398
2399	Volume of 5th ventricle whole brain (26525)	whole-brain volume	EFO:0005089	34662886	UKB	454787.0	EUR	Population Q	Separate File	2399
2400	Respiratordisorders in diseases classified elsewhere	cardiomyopathy	EFO:0000318	34375979	UKB	281104.0	EUR	Population CC/Q		2400
2401	Free triiodothyronine measurement	triiodothyronine measurement	EFO:0008392	20876667	Review					2401
2403	Other sand signs concerning food and fluid intake	sign or symptom concerning food and fluid intake	EFO:0009825	34375979	UKB	281104.0	EUR	Population CC/Q		2403
2406	Low back pain (lumbosacral region	Low back pain	HP:0003419	34375979	UKB	281104.0	EUR	Population CC/Q		2406
2413	Bell's palsnerve palsy	Bell's palsy	EFO:0007167	34375979	UKB	281104.0	EUR	Population CC/Q		2413
2425	Fracture of vault of skull (closed	Skull Fractures	EFO:1001425	34375979	UKB	281104.0	EUR	Population CC/Q		2425
2427	Cancer of urinary organs (incl. kidney and bladder)	urinary system neoplasm	MONDO:0021066	36138231	UKB	166954.0	EUR	Population CC	Mixed Q/CC	2427
2428	Chronic lleukemia|small llymphoma	chronic lymphocytic leukemia	EFO:0000095	34375979	UKB	281104.0	EUR	Population CC/Q		2428
2429	Chronic lymphocytic	chronic lymphocytic leukemia	EFO:0000095	34375979	UKB	281104.0	EUR	Population CC/Q		2429
2430	Leukaemia	acute megakaryoblastic leukaemia	EFO:0003025	34375979	UKB	281104.0	EUR	Population CC/Q		2430
2431	Asthma	asthma	MONDO:0004979	36138231	UKB	164470.0	EUR	Population CC	Mixed Q/CC	2431
2432	Orchitis| epididand epididwithout abscess	orchitis	EFO:1001078	34375979	UKB	281104.0	EUR	Population CC/Q		2432
2433	Obsessive compulsive disorder (ocd	obsessive-compulsive disorder	EFO:0004242	34375979	UKB	281104.0	EUR	Population CC/Q		2433
2434	Systolic blood pressure	systolic blood pressure	EFO:0006335	27161037	Exclude	855.0			Odd chromosomes only	2434
2453	Gout| unspecified (ankle and foot	gout	EFO:0004274	34375979	UKB	281104.0	EUR	Population CC/Q		2453
2458	Delaand secondarpostpartum haemorrhage	postpartum hemorrhage	EFO:0009579	34375979	UKB	281104.0	EUR	Population CC/Q		2458
2460	Nasopharyngeal carcinoma	nasopharyngeal neoplasm	EFO:0004252	20876667	Review					2460
2461	Espectrum betalactamase (esbl resistance	drug resistance	EFO:0020001	34375979	UKB	281104.0	EUR	Population CC/Q		2461
2462	Fracture patella | knee	knee fracture	EFO:0009617	34375979	UKB	281104.0	EUR	Population CC/Q		2462
2467	D45 polycythaemia vera	polycythemia vera	EFO:0002429	31992710	UKB	63758.0	EUR	Population CC	Mixed Q/CC	2467
2468	D45 Polycythaemia vera	polycythemia vera	EFO:0002429	31992710	UKB	63758.0	EUR	Population CC	Mixed Q/CC	2468
2469	Platelet crit	platelet crit	EFO:0007985	31992710	UKB	39307.0	EUR	Population Q	Mixed Q/CC	2469
2470	Hdl cholesterol (+6) measurement	HDL cholesterol change measurement	EFO:0007805	36088354	UKB	168042.0	EUR	Population Q		2470
2476	Influenwith pneumonia| influenvirus identified	pneumonia	EFO:0003106	34375979	UKB	281104.0	EUR	Population CC/Q		2476
2478	Tendonitis | tendinitis | tenosynovitis	tendinitis	MONDO:0004857	34375979	UKB	281104.0	EUR	Population CC/Q		2478
2480	2247_hearing_difficulty_problems_1_yes_anyinst__bin measurement	tyrosine-protein kinase YES measurement	EFO:0020832	34662886	UKB	454787.0	EUR	Population Q	Separate File	2480
2481	Rgc_hearing_loss__bin	hearing loss	EFO:0004238	34662886	UKB	454787.0	EUR	Population Q	Separate File	2481
2483	Donors of organs and tissues	Abnormality of blood and blood-forming tissues	HP:0001871	34375979	UKB	281104.0	EUR	Population CC/Q		2483
2485	PHE measurement	phenylalanine measurement	EFO:0005001	31367044	Finnish	8757.0	EUR	Population Q		2485
2486	Sinflammatorresponse s[sirs]	systemic inflammatory response syndrome	EFO:1001478	34375979	UKB	281104.0	EUR	Population CC/Q		2486
2489	Acute lymphoblastic leukemia	acute lymphoblastic leukemia	EFO:0000220	20876667	Review					2489
2495	Hdl cholesterol (+2) measurement	HDL cholesterol change measurement	EFO:0007805	36088354	UKB	168042.0	EUR	Population Q		2495
2498	6150_dd_vascular_heart_problems_2_angina_anyinst__bin	Prinzmetal's angina	EFO:1000013	34662886	UKB	454787.0	EUR	Population Q	Separate File	2498
2502	20003_treatment_or_medication_code_1141192410_rosuvastatin_anyinst__bin	rosuvastatin	CHEBI:38545	34662886	UKB	454787.0	EUR	Population Q	Separate File	2502
2505	20003_treatment_or_medication_code_1141146234_atorvastatin_anyinst__bin	atorvastatin	CHEBI:39548	34662886	UKB	454787.0	EUR	Population Q	Separate File	2505
2507	Phe10_i20__bin	angina pectoris	EFO:0003913	34662886	UKB	454787.0	EUR	Population Q	Separate File	2507
2509	6177_medication_for_cholesterol_blood_pressure_or_diabetes_2_blood_pressure_medication_anyinst__bin measurement	blood pressure change measurement	EFO:0006943	34662886	UKB	454787.0	EUR	Population Q	Separate File	2509
2510	Rosuvastatin	rosuvastatin	CHEBI:38545	36809768	UKB	412393.0	EUR	Population CC	Separate File	2510
2511	Acute myocardial infarction	acute myocardial infarction	EFO:0008583	36809768	UKB	412393.0	EUR	Population CC	Separate File	2511
2512	Chapter k - heart	heart component	EFO:0001955	34375979	UKB	281104.0	EUR	Population CC/Q		2512
2513	Ischaemic heart diseases	heart disease	EFO:0003777	36809768	UKB	412393.0	EUR	Population CC	Separate File	2513
2514	Chronic ischaemic heart disease| unspecified	chronic pulmonary heart disease	MONDO:0001493	36809768	UKB	412393.0	EUR	Population CC	Separate File	2514
2515	Atherosclerotic heart disease	Atherosclerotic lesion	HP:0031678	36809768	UKB	412393.0	EUR	Population CC	Separate File	2515
2516	Source of report of I21 (acute myocardial infarction)	acute myocardial infarction	EFO:0008583	36809768	UKB	412393.0	EUR	Population CC	Separate File	2516
2517	Angina pectoris	angina pectoris	EFO:0003913	36809768	UKB	412393.0	EUR	Population CC	Separate File	2517
2518	E78.0 Pure hypercholesterolaemia measurement	pure tone hearing measurement	EFO:0007617	31992710	UKB	62774.0	EUR	Population CC	Mixed Q/CC	2518
2519	Cardiovascular measurement	cardiovascular measurement	EFO:0004298	36809768	UKB	412393.0	EUR	Population CC	Separate File	2519
2520	Treatment/medication code: atorvastatin	atorvastatin	CHEBI:39548	31992710	UKB	40326.0	EUR	Population CC	Mixed Q/CC	2520
2521	Aspirin	Aspirin-induced asthma	HP:0012042	36809768	UKB	412393.0	EUR	Population CC	Separate File	2521
2522	Chronic ischaemic heart disease	chronic pulmonary heart disease	MONDO:0001493	36809768	UKB	412393.0	EUR	Population CC	Separate File	2522
2523	Source of myocardial infarction report	myocardial infarction	EFO:0000612	36809768	UKB	412393.0	EUR	Population CC	Separate File	2523
2524	Old myocardial infarction	myocardial infarction	EFO:0000612	36809768	UKB	412393.0	EUR	Population CC	Separate File	2524
2525	Source of report of I20 (angina pectoris)	angina pectoris	EFO:0003913	36809768	UKB	412393.0	EUR	Population CC	Separate File	2525
2526	Angina	angina pectoris	EFO:0003913	36809768	UKB	412393.0	EUR	Population CC	Separate File	2526
2527	Presence of aortocoronary bypass graft	coronary artery bypass	EFO:0003776	36809768	UKB	412393.0	EUR	Population CC	Separate File	2527
2528	Ldl direct (+3) measurement	low density lipoprotein cholesterol measurement	EFO:0004611	36088354	UKB	182419.0	EUR	Population Q		2528
2532	Apolipoprotein a (+1) measurement	apolipoprotein A 1 measurement	EFO:0004614	36088354	UKB	167049.0	EUR	Population Q		2532
2533	HDL3-C measurement	HDL cholesterol change measurement	EFO:0007805	31367044	Finnish	10984.0	EUR	Population Q		2533
2534	APOA1 measurement	apolipoprotein A 1 measurement	EFO:0004614	36419110	Finnish	918.0	EUR	Ascertained Q	T1D patients	2534
2535	Localisation-related (focal (partial sepilepsand epileptic swith simple partial seizures	partial epilepsy	EFO:0004263	34375979	UKB	281104.0	EUR	Population CC/Q		2535
2536	Creatinine (+2) measurement	creatinine measurement	EFO:0004518	36088354	UKB	182638.0	EUR	Population Q		2536
2539	Subsequent minfarction	Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction	EFO:0008584	34375979	UKB	281104.0	EUR	Population CC/Q		2539
2541	Crohn's disease	Crohn's disease	EFO:0000384	20876667	Review					2541
2544	Lymphoedema	lymphedema	MONDO:0019297	34375979	UKB	281104.0	EUR	Population CC/Q		2544
2545	Folate deficiencanaemia| unspecified	folate deficiency	EFO:0001070	34375979	UKB	281104.0	EUR	Population CC/Q		2545
2546	Other specified orthopaedic follow-up care	orthopedic nursing	EFO:0009577	34375979	UKB	281104.0	EUR	Population CC/Q		2546
2548	Diabetes mellitus	diabetes mellitus	EFO:0000400	36809768	UKB	412393.0	EUR	Population CC	Separate File	2548
2549	Unspecified diabetes mellitus	diabetes mellitus	EFO:0000400	36809768	UKB	412393.0	EUR	Population CC	Separate File	2549
2550	Diabetes	diabetes mellitus	EFO:0000400	36809768	UKB	412393.0	EUR	Population CC	Separate File	2550
2551	Retinal disorders in diseases classified elsewhere	cardiomyopathy	EFO:0000318	36809768	UKB	412393.0	EUR	Population CC	Separate File	2551
2552	Source of report of E11 (non-insulin-dependent diabetes mellitus)	diabetes mellitus	EFO:0000400	36809768	UKB	412393.0	EUR	Population CC	Separate File	2552
2553	Non-insulin-dependent diabetes mellitus	type 2 diabetes mellitus	MONDO:0005148	36809768	UKB	412393.0	EUR	Population CC	Separate File	2553
2554	Glycated haemoglobin	percent glycated albumin	EFO:0009304	31992710	UKB	43181.0	EUR	Population Q	Mixed Q/CC	2554
2555	Source of report of E14 (unspecified diabetes mellitus)	diabetes mellitus	EFO:0000400	36809768	UKB	412393.0	EUR	Population CC	Separate File	2555
2556	Glucose	glucose	CHEBI:17234	31992710	UKB	47200.0	EUR	Population Q	Mixed Q/CC	2556
2557	Glycated haemoglobin (hba1c) (+1) measurement	HbA1c measurement	EFO:0004541	36088354	UKB	182493.0	EUR	Population Q		2557
2558	Type 2 diabetes	type 2 diabetes mellitus	MONDO:0005148	36138231	UKB	166445.0	EUR	Population CC	Mixed Q/CC	2558
2560	Chronic|degenerative neurological problem	nervous system disease	EFO:0000618	34375979	UKB	281104.0	EUR	Population CC/Q		2560
2561	VLDLPL XS measurement	very low density lipoprotein cholesterol change measurement	EFO:0020857	36419110	Finnish	738.0	EUR	Ascertained Q	T1D patients	2561
2563	1747_hair_colour_natural_before_greying_3_light_brown_anyinst__bin measurement	hair colour measurement	EFO:0007822	34662886	UKB	454787.0	EUR	Population Q	Separate File	2563
2564	Hair colour (natural, before greying): Red measurement	hair colour measurement	EFO:0007822	31992710	UKB	40271.0	EUR	Population CC	Mixed Q/CC	2564
2565	Blue vs. green eyes freckies	eye color	EFO:0003949	20876667	Review					2565
2572	1687_comparative_body_size_at_age_10_2_plumper_anyinst__bin	comparative body size at age 10, self-reported	EFO:0009819	34662886	UKB	454787.0	EUR	Population Q	Separate File	2572
2574	1687_comparative_body_size_at_age_10_1_thinner_anyinst__bin	comparative body size at age 10, self-reported	EFO:0009819	34662886	UKB	454787.0	EUR	Population Q	Separate File	2574
2591	Rgc_tag_severe_obesity__bin	morbid obesity	EFO:0001074	34662886	UKB	454787.0	EUR	Population Q	Separate File	2591
2593	Rgc_tag_obesity__bin	obesity	EFO:0001073	34662886	UKB	454787.0	EUR	Population Q	Separate File	2593
2623	Whr-females	waist-hip ratio	EFO:0004343	31367044	Finnish	4927.0	EUR	Population Q		2623
2632	Lipoprotein(a) measurement	lipoprotein A measurement	EFO:0006925	28089252	ARIC	1860.0	AFR	Population Q		2632
2637	1747_hair_colour_natural_before_greying_4_dark_brown_anyinst__bin measurement	hair colour measurement	EFO:0007822	34662886	UKB	454787.0	EUR	Population Q	Separate File	2637
2646	Papillartransitional cell carcinoma	small cell carcinoma	EFO:0008524	34375979	UKB	281104.0	EUR	Population CC/Q		2646
2647	Benign neoplasm of major salivarglands	benign neoplasm	EFO:0002422	34375979	UKB	281104.0	EUR	Population CC/Q		2647
2648	Total bilirubin (+1) measurement	bilirubin measurement	EFO:0004570	36088354	UKB	181997.0	EUR	Population Q		2648
2649	Dysuria	dysuria	EFO:0003901	36138231	UKB	157775.0	EUR	Population CC	Mixed Q/CC	2649
2650	Eosinophils percentage	eosinophil count	EFO:0004842	30206357	SLSJ	1214.0	EUR	Population CC		2650
2656	Herpesviral [herpes simpleinfections	Herpes Labialis	EFO:1001347	34375979	UKB	281104.0	EUR	Population CC/Q		2656
2664	Glaucoma	glaucoma	MONDO:0005041	36138231	UKB	166955.0	EUR	Exclude	Mixed Q/CC	2664
2665	Glaucoma (uk biobank)	glaucoma	MONDO:0005041	32424355	UKB	402223.0	EUR	Population CC	Mixed Q/CC; Has heritability	2665
2667	Type 4 diabetes	type 1 diabetes mellitus	MONDO:0005147	20549515	WTCCC	5000.0	EUR	Exclude		2667
2669	Bipolar disorder	bipolar disorder	MONDO:0004985	28195573	Faroe Islands	242.0	EUR	Ascertained CC		2669
2670	Osteoporosis	osteoporosis	EFO:0003882	34375979	UKB	281104.0	EUR	Population CC/Q		2670
2671	Acinar cell carcinoma	acinar cell carcinoma	EFO:0000216	34375979	UKB	281104.0	EUR	Population CC/Q		2671
2672	Chronic sinusitis	sinusitis	EFO:0007486	36138231	UKB	160254.0	EUR	Population CC	Mixed Q/CC	2672
2673	Neurofibromatosis (nonmalignant	neurofibromatosis	EFO:0008514	34375979	UKB	281104.0	EUR	Population CC/Q		2673
2675	Fracture of upper end of humerus (closed	humerus fracture	EFO:0003943	34375979	UKB	281104.0	EUR	Population CC/Q		2675
2676	Hypovolemia	Hypovolemia	HP:0011106	36138231	UKB	165220.0	EUR	Population CC	Mixed Q/CC	2676
2677	Sprain and strain involving (anterior)(posterior cruciate ligament of knee	sprain	EFO:0009582	34375979	UKB	281104.0	EUR	Population CC/Q		2677
2678	HDL measurement	HDL cholesterol change measurement	EFO:0007805	35177841	UKB	162739.0	EUR	Population Q		2678
2681	Serum ige levels measurement	serum IgE measurement	EFO:0004579	30206357	SLSJ	1214.0	EUR	Population CC		2681
2682	Streptococcal septicaemia)	streptococcal pneumonia	EFO:0007499	34375979	UKB	281104.0	EUR	Population CC/Q		2682
2683	Pulse-press measurement	pulse pressure measurement	EFO:0005763	31367044	Finnish	19227.0	EUR	Population Q		2683
2686	1747_hair_colour_natural_before_greying_1_blonde_anyinst__bin measurement	hair colour measurement	EFO:0007822	34662886	UKB	454787.0	EUR	Population Q	Separate File	2686
2687	1717_skin_colour_2_fair_anyinst__bin measurement	hair colour measurement	EFO:0007822	34662886	UKB	454787.0	EUR	Population Q	Separate File	2687
2688	1747_hair_colour_natural_before_greying_5_black_anyinst__bin measurement	hair colour measurement	EFO:0007822	34662886	UKB	454787.0	EUR	Population Q	Separate File	2688
2689	Hair colour (natural, before greying): Blonde measurement	hair colour measurement	EFO:0007822	31992710	UKB	40279.0	EUR	Population CC	Mixed Q/CC	2689
2692	Hip	hip circumference	EFO:0005093	31367044	Finnish	19226.0	EUR	Population Q		2692
2694	Carcinoid tumor	carcinoid tumor	EFO:0004243	34375979	UKB	281104.0	EUR	Population CC/Q		2694
2695	Cervical spondylosis	cervical spondylosis	EFO:0009610	34375979	UKB	281104.0	EUR	Population CC/Q		2695
2698	Hheart disease without (congestive heart failure	congestive heart failure	EFO:0000373	34375979	UKB	281104.0	EUR	Population CC/Q		2698
2699	Other nonsteroidal anti-inflammatordrugs [nsaid] measurement	NSAID use measurement	EFO:0007012	34375979	UKB	281104.0	EUR	Population CC/Q		2699
2700	Ldl direct (+2) measurement	low density lipoprotein cholesterol measurement	EFO:0004611	36088354	UKB	182419.0	EUR	Population Q		2700
2701	Low density lipoprotein cholesterol measurement	low density lipoprotein cholesterol measurement	EFO:0004611	20876667	Review					2701
2702	Hepatitis c	hepatitis C virus infection	EFO:0003047	34375979	UKB	281104.0	EUR	Population CC/Q		2702
2706	Special screening efor infectious and parasitic diseases	parasitic infection	EFO:0001067	34375979	UKB	281104.0	EUR	Population CC/Q		2706
2710	Nervous breakdown measurement	nervous system measurement	EFO:0005052	34375979	UKB	281104.0	EUR	Population CC/Q		2710
2722	Hypertensive renal disease	hypertensive nephropathy	MONDO:0024633	36809768	UKB	412393.0	EUR	Population CC	Separate File	2722
2723	Percutaneous puncture of kidney	percutaneous kidney biopsy	EFO:0009293	34375979	UKB	281104.0	EUR	Population CC/Q		2723
2724	Other renal|kidney problem	renal cell adenocarcinoma	EFO:0005708	36809768	UKB	412393.0	EUR	Population CC	Separate File	2724
2725	Other bacterial diseases	bacterial pneumonia	EFO:1001272	36809768	UKB	412393.0	EUR	Population CC	Separate File	2725
2726	Hypertensive renal disease with renal failure	malignant hypertensive renal disease	MONDO:0000959	36809768	UKB	412393.0	EUR	Population CC	Separate File	2726
2727	Congenital malformations of gallbladder| bile ducts and liver	liver disease	EFO:0001421	36809768	UKB	412393.0	EUR	Population CC	Separate File	2727
2728	Renal failure	kidney failure	EFO:1002048	36809768	UKB	412393.0	EUR	Population CC	Separate File	2728
2729	Dependence on renal dialysis	dependence on enabling machines and devices	EFO:0020981	36809768	UKB	412393.0	EUR	Population CC	Separate File	2729
2730	Other malignant neoplasms of skin	skin neoplasm	EFO:0004198	36809768	UKB	412393.0	EUR	Population CC	Separate File	2730
2731	Volume depletion	volume	EFO:0001715	36809768	UKB	412393.0	EUR	Population CC	Separate File	2731
2732	Certain infectious and parasitic diseases	parasitic infection	EFO:0001067	36809768	UKB	412393.0	EUR	Population CC	Separate File	2732
2733	Peritonitis	peritonitis	EFO:0008588	36809768	UKB	412393.0	EUR	Population CC	Separate File	2733
2734	Polycystic kidney| adult type	polycystic kidney disease 2	MONDO:0013131	36809768	UKB	412393.0	EUR	Population CC	Separate File	2734
2735	Complications of surgical and medical care| not elsewhere classified	medical procedure	EFO:0002571	36809768	UKB	412393.0	EUR	Population CC	Separate File	2735
2736	Other disorders resulting from impaired renal tubular function	impaired renal function disease	MONDO:0001343	36809768	UKB	412393.0	EUR	Population CC	Separate File	2736
2737	Cystic kidney disease	Cystic Kidney Disease	EFO:0008615	36809768	UKB	412393.0	EUR	Population CC	Separate File	2737
2738	Unspecified renal failure	kidney failure	EFO:1002048	36809768	UKB	412393.0	EUR	Population CC	Separate File	2738
2739	Chronic renal failure| unspecified	stage 5 chronic kidney disease	EFO:0009909	36809768	UKB	412393.0	EUR	Population CC	Separate File	2739
2740	Renal|kidney failure	kidney failure	EFO:1002048	36809768	UKB	412393.0	EUR	Population CC	Separate File	2740
2741	Source of end stage renal disease report	stage 5 chronic kidney disease	EFO:0009909	36809768	UKB	412393.0	EUR	Population CC	Separate File	2741
2742	End-stage renal disease	stage 5 chronic kidney disease	EFO:0009909	36809768	UKB	412393.0	EUR	Population CC	Separate File	2742
2743	Cyst of kidney| acquired	Kidney Cyst	EFO:1000313	36809768	UKB	412393.0	EUR	Population CC	Separate File	2743
2746	Postprocedural hypoparathyroidism	hypoparathyroidism	EFO:0009451	36809768	UKB	412393.0	EUR	Population CC	Separate File	2746
2747	Diseases of liver	liver disease	EFO:0001421	36809768	UKB	412393.0	EUR	Population CC	Separate File	2747
2748	Other disorders of urinary system	urinary system disease	EFO:0009690	36809768	UKB	412393.0	EUR	Population CC	Separate File	2748
2749	Cystic disease of liver	cystic liver disease	EFO:1001505	36809768	UKB	412393.0	EUR	Population CC	Separate File	2749
2750	Chronic renal failure	stage 5 chronic kidney disease	EFO:0009909	36809768	UKB	412393.0	EUR	Population CC	Separate File	2750
2751	Polycystic kidney| unspecified	Polycystic Kidney Disease	EFO:0008620	36809768	UKB	412393.0	EUR	Population CC	Separate File	2751
2752	Abnormal results of kidney function studies	abnormal result of function studies	EFO:0009628	36809768	UKB	412393.0	EUR	Population CC	Separate File	2752
2753	Fever of unknown origin	fever of unknown origin	EFO:0003952	36809768	UKB	412393.0	EUR	Population CC	Separate File	2753
2754	Source of report of N17 (acute renal failure)	acute kidney failure	MONDO:0002492	36809768	UKB	412393.0	EUR	Population CC	Separate File	2754
2755	Adjustment and management of other implanted devices	encounter with health service for adjustment and management of implanted device	EFO:0020982	36809768	UKB	412393.0	EUR	Population CC	Separate File	2755
