	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx	Trait	Mapped	TraitExp	MappedExp	MAPPED_TRAIT_CLEAN	TRAIT_CODE_CLEAN
544	Cholesteryl Esters to Total Lipids in Medium VLDL percentage	cholesteryl esters:total lipids ratio	EFO:0020944	36809768	UKB	97869.0	EUR	Population Q	Separate File	232	cholesteryl esters to total lipids in medium vldl percentage	cholesteryl esters:total lipids ratio	cholesteryl esters to total lipids in medium very low density lipoprotein (vldl) percentage	cholesteryl esters:total lipids ratio	cholesteryl esters to total lipids in medium VLDL percentage	EFO_0022253
545	Total Lipids in Medium VLDL	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97869.0	EUR	Population Q	Separate File	244	total lipids in medium vldl	free cholesterol:total lipids ratio	total lipids in medium very low density lipoprotein (vldl)	free cholesterol:total lipids ratio	total lipids in medium VLDL	EFO_0022153
546	Triglycerides to Total Lipids in Medium VLDL percentage	triglycerides:total lipids ratio	EFO:0020947	36809768	UKB	97869.0	EUR	Population Q	Separate File	219	triglycerides to total lipids in medium vldl percentage	triglycerides:total lipids ratio	triglycerides to total lipids in medium very low density lipoprotein (vldl) percentage	triglycerides:total lipids ratio	triglycerides to total lipids in medium VLDL percentage	EFO_0022335
547	Free Cholesterol to Total Lipids in Medium VLDL percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97869.0	EUR	Population Q	Separate File	222	free cholesterol to total lipids in medium vldl percentage	free cholesterol:total lipids ratio	free cholesterol to total lipids in medium very low density lipoprotein (vldl) percentage	free cholesterol:total lipids ratio	free cholesterol to total lipids in medium VLDL percentage	EFO_0022284
548	Free Cholesterol to Cholesterol in LDL percentage	LDL cholesterol	EFO:0004195	36809768	UKB	97860.0	EUR	Population Q	Separate File	446	free cholesterol to cholesterol in ldl percentage	ldl cholesterol	free cholesterol to cholesterol in low density lipoprotein (ldl) percentage	low density lipoprotein (ldl) cholesterol	total cholesterol measurement	EFO_0004574
549	Free Cholesterol to Cholesteryl Esters in LDL percentage	LDL cholesterol	EFO:0004195	36809768	UKB	97860.0	EUR	Population Q	Separate File	447	free cholesterol to cholesteryl esters in ldl percentage	ldl cholesterol	free cholesterol to cholesteryl esters in low density lipoprotein (ldl) percentage	low density lipoprotein (ldl) cholesterol	lipid measurement	EFO_0004529
550	LDL Cholesterol	LDL cholesterol	EFO:0004195	36809768	UKB	97860.0	EUR	Population Q	Separate File	274	ldl cholesterol	ldl cholesterol	low density lipoprotein (ldl) cholesterol	low density lipoprotein (ldl) cholesterol	low density lipoprotein cholesterol measurement	EFO_0004611
551	Cholesteryl Esters to Cholesterol in LDL percentage	LDL cholesterol	EFO:0004195	36809768	UKB	97860.0	EUR	Population Q	Separate File	445	cholesteryl esters to cholesterol in ldl percentage	ldl cholesterol	cholesteryl esters to cholesterol in low density lipoprotein (ldl) percentage	low density lipoprotein (ldl) cholesterol	total cholesterol measurement	EFO_0004574
552	Total Lipids in Medium LDL	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97854.0	EUR	Population Q	Separate File	272	total lipids in medium ldl	free cholesterol:total lipids ratio	total lipids in medium low density lipoprotein (ldl)	free cholesterol:total lipids ratio	total lipids in medium LDL	EFO_0022180
553	Cholesterol to Total Lipids in Medium LDL percentage	LDL cholesterol	EFO:0004195	36809768	UKB	97854.0	EUR	Population Q	Separate File	141	cholesterol to total lipids in medium ldl percentage	ldl cholesterol	cholesterol to total lipids in medium low density lipoprotein (ldl) percentage	low density lipoprotein (ldl) cholesterol	cholesterol to total lipids in medium LDL percentage	EFO_0022238
554	Triglycerides to Total Lipids in Medium LDL percentage	triglycerides:total lipids ratio	EFO:0020947	36809768	UKB	97854.0	EUR	Population Q	Separate File	251	triglycerides to total lipids in medium ldl percentage	triglycerides:total lipids ratio	triglycerides to total lipids in medium low density lipoprotein (ldl) percentage	triglycerides:total lipids ratio	triglycerides to total lipids in medium LDL percentage	EFO_0022334
555	Free Cholesterol to Total Lipids in Medium LDL percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97854.0	EUR	Population Q	Separate File	779	free cholesterol to total lipids in medium ldl percentage	free cholesterol:total lipids ratio	free cholesterol to total lipids in medium low density lipoprotein (ldl) percentage	free cholesterol:total lipids ratio	free cholesterol to total lipids in medium LDL percentage	EFO_0022283
556	Cholesteryl Esters to Total Lipids in Medium LDL percentage	cholesteryl esters:total lipids ratio	EFO:0020944	36809768	UKB	97854.0	EUR	Population Q	Separate File	998	cholesteryl esters to total lipids in medium ldl percentage	cholesteryl esters:total lipids ratio	cholesteryl esters to total lipids in medium low density lipoprotein (ldl) percentage	cholesteryl esters:total lipids ratio	cholesteryl esters to total lipids in medium LDL percentage	EFO_0022252
557	Free Cholesterol in HDL measurement	HDL cholesterol change measurement	EFO:0007805	36809768	UKB	97804.0	EUR	Population Q	Separate File	157	free cholesterol in hdl measurement	hdl cholesterol change measurement	free cholesterol in high density lipoprotein (hdl) measurement	high density lipoprotein (hdl) cholesterol change measurement	free cholesterol in HDL measurement	EFO_0022264
558	Triglycerides to Total Lipids in Small HDL percentage	triglycerides:total lipids ratio	EFO:0020947	36809768	UKB	97713.0	EUR	Population Q	Separate File	448	triglycerides to total lipids in small hdl percentage	triglycerides:total lipids ratio	triglycerides to total lipids in small high density lipoprotein (hdl) percentage	triglycerides:total lipids ratio	triglycerides to total lipids in small HDL percentage	EFO_0022336
559	Total Lipids in Small HDL	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97713.0	EUR	Population Q	Separate File	117	total lipids in small hdl	free cholesterol:total lipids ratio	total lipids in small high density lipoprotein (hdl)	free cholesterol:total lipids ratio	total lipids in small HDL measurement	EFO_0022311
560	Cholesteryl Esters to Total Lipids in Small HDL percentage	cholesteryl esters:total lipids ratio	EFO:0020944	36809768	UKB	97713.0	EUR	Population Q	Separate File	987	cholesteryl esters to total lipids in small hdl percentage	cholesteryl esters:total lipids ratio	cholesteryl esters to total lipids in small high density lipoprotein (hdl) percentage	cholesteryl esters:total lipids ratio	cholesteryl esters to total lipids in small HDL percentage	EFO_0022254
561	Cholesterol to Total Lipids in Small HDL percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97713.0	EUR	Population Q	Separate File	770	cholesterol to total lipids in small hdl percentage	free cholesterol:total lipids ratio	cholesterol to total lipids in small high density lipoprotein (hdl) percentage	free cholesterol:total lipids ratio	cholesterol to total lipids in small HDL percentage	EFO_0022240
562	Free Cholesterol to Total Lipids in Small HDL percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97713.0	EUR	Population Q	Separate File	93	free cholesterol to total lipids in small hdl percentage	free cholesterol:total lipids ratio	free cholesterol to total lipids in small high density lipoprotein (hdl) percentage	free cholesterol:total lipids ratio	free cholesterol to total lipids in small HDL percentage	EFO_0022285
563	Triglycerides to Total Lipids in Large LDL percentage	triglycerides:total lipids ratio	EFO:0020947	36809768	UKB	97703.0	EUR	Population Q	Separate File	390	triglycerides to total lipids in large ldl percentage	triglycerides:total lipids ratio	triglycerides to total lipids in large low density lipoprotein (ldl) percentage	triglycerides:total lipids ratio	triglycerides to total lipids in large LDL percentage	EFO_0022331
564	Cholesteryl Esters to Total Lipids in Large LDL percentage	cholesteryl esters:total lipids ratio	EFO:0020944	36809768	UKB	97703.0	EUR	Population Q	Separate File	146	cholesteryl esters to total lipids in large ldl percentage	cholesteryl esters:total lipids ratio	cholesteryl esters to total lipids in large low density lipoprotein (ldl) percentage	cholesteryl esters:total lipids ratio	cholesteryl esters to total lipids in large LDL percentage	EFO_0022249
565	Total Lipids in Large LDL	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97703.0	EUR	Population Q	Separate File	263	total lipids in large ldl	free cholesterol:total lipids ratio	total lipids in large low density lipoprotein (ldl)	free cholesterol:total lipids ratio	total lipids in large LDL	EFO_0022163
566	Cholesterol to Total Lipids in Large LDL percentage	LDL cholesterol	EFO:0004195	36809768	UKB	97703.0	EUR	Population Q	Separate File	118	cholesterol to total lipids in large ldl percentage	ldl cholesterol	cholesterol to total lipids in large low density lipoprotein (ldl) percentage	low density lipoprotein (ldl) cholesterol	cholesterol to total lipids in large LDL percentage	EFO_0022235
567	Free Cholesterol to Total Lipids in Large LDL percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97703.0	EUR	Population Q	Separate File	265	free cholesterol to total lipids in large ldl percentage	free cholesterol:total lipids ratio	free cholesterol to total lipids in large low density lipoprotein (ldl) percentage	free cholesterol:total lipids ratio	free cholesterol to total lipids in large LDL percentage	EFO_0022280
568	Free Cholesterol in VLDL measurement	free cholesterol measurement	EFO:0008591	36809768	UKB	97676.0	EUR	Population Q	Separate File	257	free cholesterol in vldl measurement	free cholesterol measurement	free cholesterol in very low density lipoprotein (vldl) measurement	free cholesterol measurement	free cholesterol in VLDL measurement	EFO_0022276
569	Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio	fatty acid	CHEBI:35366	36809768	UKB	97645.0	EUR	Population Q	Separate File	774	polyunsaturated fatty acids to monounsaturated fatty acids ratio	fatty acid	polyunsaturated fatty acids to monounsaturated fatty acids ratio	fatty acid	polyunsaturated fatty acids to monounsaturated fatty acids ratio	EFO_0022302
570	Docosahexaenoic Acid to Total Fatty Acids percentage	docosahexaenoic acid	CHEBI:36005	36809768	UKB	97645.0	EUR	Population Q	Separate File	1016	docosahexaenoic acid to total fatty acids percentage	docosahexaenoic acid	docosahexaenoic acid to total fatty acids percentage	docosahexaenoic acid	docosahexaenoic acid to total fatty acids percentage	EFO_0022262
571	Polyunsaturated Fatty Acids to Total Fatty Acids percentage	fatty acid	CHEBI:35366	36809768	UKB	97645.0	EUR	Population Q	Separate File	1017	polyunsaturated fatty acids to total fatty acids percentage	fatty acid	polyunsaturated fatty acids to total fatty acids percentage	fatty acid	polyunsaturated fatty acids to total fatty acids percentage	EFO_0022303
572	Saturated Fatty Acids to Total Fatty Acids percentage	fatty acid	CHEBI:35366	36809768	UKB	97645.0	EUR	Population Q	Separate File	716	saturated fatty acids to total fatty acids percentage	fatty acid	saturated fatty acids to total fatty acids percentage	fatty acid	saturated fatty acids to total fatty acids percentage	EFO_0022305
573	Free Cholesterol to Total Lipids in LDL percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97631.0	EUR	Population Q	Separate File	778	free cholesterol to total lipids in ldl percentage	free cholesterol:total lipids ratio	free cholesterol to total lipids in low density lipoprotein (ldl) percentage	free cholesterol:total lipids ratio	lipid measurement	EFO_0004529
574	Phospholipids to Total Lipids in LDL percentage	phospholipids:total lipids ratio	EFO:0020946	36809768	UKB	97631.0	EUR	Population Q	Separate File	119	phospholipids to total lipids in ldl percentage	phospholipids:total lipids ratio	phospholipids to total lipids in low density lipoprotein (ldl) percentage	phospholipids:total lipids ratio	lipid measurement	EFO_0004529
575	Cholesteryl Esters to Total Lipids in LDL percentage	cholesteryl esters:total lipids ratio	EFO:0020944	36809768	UKB	97631.0	EUR	Population Q	Separate File	95	cholesteryl esters to total lipids in ldl percentage	cholesteryl esters:total lipids ratio	cholesteryl esters to total lipids in low density lipoprotein (ldl) percentage	cholesteryl esters:total lipids ratio	lipid measurement	EFO_0004529
576	Triglycerides to Total Lipids in LDL percentage	triglycerides:total lipids ratio	EFO:0020947	36809768	UKB	97631.0	EUR	Population Q	Separate File	258	triglycerides to total lipids in ldl percentage	triglycerides:total lipids ratio	triglycerides to total lipids in low density lipoprotein (ldl) percentage	triglycerides:total lipids ratio	lipid measurement	EFO_0004529
577	Cholesterol to Total Lipids in LDL percentage	LDL cholesterol	EFO:0004195	36809768	UKB	97631.0	EUR	Population Q	Separate File	125	cholesterol to total lipids in ldl percentage	ldl cholesterol	cholesterol to total lipids in low density lipoprotein (ldl) percentage	low density lipoprotein (ldl) cholesterol	lipid measurement	EFO_0004529
578	Free Cholesterol to Cholesteryl Esters in VLDL percentage	LDL cholesterol	EFO:0004195	36809768	UKB	97540.0	EUR	Population Q	Separate File	182	free cholesterol to cholesteryl esters in vldl percentage	ldl cholesterol	free cholesterol to cholesteryl esters in very low density lipoprotein (vldl) percentage	low density lipoprotein (ldl) cholesterol	lipid measurement	EFO_0004529
579	Free Cholesterol to Cholesterol in VLDL percentage	LDL cholesterol	EFO:0004195	36809768	UKB	97540.0	EUR	Population Q	Separate File	181	free cholesterol to cholesterol in vldl percentage	ldl cholesterol	free cholesterol to cholesterol in very low density lipoprotein (vldl) percentage	low density lipoprotein (ldl) cholesterol	total cholesterol measurement	EFO_0004574
580	Total Concentration of Lipoprotein Particles	lipoprotein	EFO:0003836	36809768	UKB	97412.0	EUR	Population Q	Separate File	81	total concentration of lipoprotein particles	lipoprotein	total concentration of lipoprotein particles	lipoprotein	lipoprotein measurement	EFO_0004732
581	Triglycerides to Total Lipids in HDL percentage	triglycerides:total lipids ratio	EFO:0020947	36809768	UKB	97295.0	EUR	Population Q	Separate File	450	triglycerides to total lipids in hdl percentage	triglycerides:total lipids ratio	triglycerides to total lipids in high density lipoprotein (hdl) percentage	triglycerides:total lipids ratio	lipid measurement	EFO_0004529
582	Cholesterol to Total Lipids in HDL percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97295.0	EUR	Population Q	Separate File	113	cholesterol to total lipids in hdl percentage	free cholesterol:total lipids ratio	cholesterol to total lipids in high density lipoprotein (hdl) percentage	free cholesterol:total lipids ratio	lipid measurement	EFO_0004529
583	Cholesteryl Esters to Total Lipids in HDL percentage	cholesteryl esters:total lipids ratio	EFO:0020944	36809768	UKB	97295.0	EUR	Population Q	Separate File	144	cholesteryl esters to total lipids in hdl percentage	cholesteryl esters:total lipids ratio	cholesteryl esters to total lipids in high density lipoprotein (hdl) percentage	cholesteryl esters:total lipids ratio	lipid measurement	EFO_0004529
584	Free Cholesterol to Total Lipids in HDL percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97295.0	EUR	Population Q	Separate File	252	free cholesterol to total lipids in hdl percentage	free cholesterol:total lipids ratio	free cholesterol to total lipids in high density lipoprotein (hdl) percentage	free cholesterol:total lipids ratio	lipid measurement	EFO_0004529
585	Phospholipids to Total Lipids in HDL percentage	phospholipids:total lipids ratio	EFO:0020946	36809768	UKB	97295.0	EUR	Population Q	Separate File	145	phospholipids to total lipids in hdl percentage	phospholipids:total lipids ratio	phospholipids to total lipids in high density lipoprotein (hdl) percentage	phospholipids:total lipids ratio	lipid measurement	EFO_0004529
586	Free Cholesterol to Total Lipids in VLDL percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97013.0	EUR	Population Q	Separate File	204	free cholesterol to total lipids in vldl percentage	free cholesterol:total lipids ratio	free cholesterol to total lipids in very low density lipoprotein (vldl) percentage	free cholesterol:total lipids ratio	lipid measurement	EFO_0004529
587	Cholesterol to Total Lipids in VLDL percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	97013.0	EUR	Population Q	Separate File	190	cholesterol to total lipids in vldl percentage	free cholesterol:total lipids ratio	cholesterol to total lipids in very low density lipoprotein (vldl) percentage	free cholesterol:total lipids ratio	lipid measurement	EFO_0004529
588	Cholesteryl Esters to Total Lipids in VLDL percentage	cholesteryl esters:total lipids ratio	EFO:0020944	36809768	UKB	97013.0	EUR	Population Q	Separate File	217	cholesteryl esters to total lipids in vldl percentage	cholesteryl esters:total lipids ratio	cholesteryl esters to total lipids in very low density lipoprotein (vldl) percentage	cholesteryl esters:total lipids ratio	lipid measurement	EFO_0004529
589	Triglycerides to Total Lipids in VLDL percentage	triglycerides:total lipids ratio	EFO:0020947	36809768	UKB	97013.0	EUR	Population Q	Separate File	205	triglycerides to total lipids in vldl percentage	triglycerides:total lipids ratio	triglycerides to total lipids in very low density lipoprotein (vldl) percentage	triglycerides:total lipids ratio	lipid measurement	EFO_0004529
590	Phospholipids to Total Lipids in VLDL percentage	phospholipids:total lipids ratio	EFO:0020946	36809768	UKB	97013.0	EUR	Population Q	Separate File	225	phospholipids to total lipids in vldl percentage	phospholipids:total lipids ratio	phospholipids to total lipids in very low density lipoprotein (vldl) percentage	phospholipids:total lipids ratio	lipid measurement	EFO_0004529
591	Total Free Cholesterol to Total Esterified Cholesterol ratio	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	96968.0	EUR	Population Q	Separate File	84	total free cholesterol to total esterified cholesterol ratio	free cholesterol:total lipids ratio	total free cholesterol to total esterified cholesterol ratio	free cholesterol:total lipids ratio	lipid measurement	EFO_0004529
592	Total Free Cholesterol to Total Lipids percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	96285.0	EUR	Population Q	Separate File	192	total free cholesterol to total lipids percentage	free cholesterol:total lipids ratio	total free cholesterol to total lipids percentage	free cholesterol:total lipids ratio	total cholesterol measurement	EFO_0004574
593	Total Esterified Cholesterol to Total Lipids percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	96285.0	EUR	Population Q	Separate File	981	total esterified cholesterol to total lipids percentage	free cholesterol:total lipids ratio	total esterified cholesterol to total lipids percentage	free cholesterol:total lipids ratio	esterified cholesterol measurement	EFO_0008589
594	Total Triglycerides to Total Lipids percentage	triglycerides:total lipids ratio	EFO:0020947	36809768	UKB	96285.0	EUR	Population Q	Separate File	989	total triglycerides to total lipids percentage	triglycerides:total lipids ratio	total triglycerides to total lipids percentage	triglycerides:total lipids ratio	lipid measurement	EFO_0004529
595	Total Phospholipids to Total Lipids percentage	phospholipids:total lipids ratio	EFO:0020946	36809768	UKB	96285.0	EUR	Population Q	Separate File	387	total phospholipids to total lipids percentage	phospholipids:total lipids ratio	total phospholipids to total lipids percentage	phospholipids:total lipids ratio	lipid measurement	EFO_0004529
596	Total Cholesterol to Total Lipids percentage	free cholesterol:total lipids ratio	EFO:0020945	36809768	UKB	96285.0	EUR	Population Q	Separate File	267	total cholesterol to total lipids percentage	free cholesterol:total lipids ratio	total cholesterol to total lipids percentage	free cholesterol:total lipids ratio	lipid measurement	EFO_0004529
0	Biochemistry LDL direct	LDL cholesterol	EFO:0004195	34226706	UKB	437651.0	EUR	Population Q		5	biochemistry ldl direct	ldl cholesterol	biochemistry low density lipoprotein (ldl) direct	low density lipoprotein (ldl) cholesterol	low density lipoprotein cholesterol measurement	EFO_0004611
1	Biochemistry Cholesterol	cholesterol	CHEBI:16113	34226706	UKB	437878.0	EUR	Population Q		9	biochemistry cholesterol	cholesterol	biochemistry cholesterol	cholesterol	total cholesterol measurement	EFO_0004574
2	Aortic (valve stenosis with insufficiency	aortic valve stenosis	MONDO:0042981	34375979	UKB	281104.0	EUR	Population CC/Q		45	aortic (valve stenosis with insufficiency	aortic valve stenosis	aortic (valve stenosis with insufficiency	aortic valve stenosis	aortic stenosis	EFO_0000266
3	Varicella [chickenpox])	chickenpox	EFO:0007204	34375979	UKB	281104.0	EUR	Population CC/Q		48	varicella [chickenpox])	chickenpox	varicella [chickenpox])	chickenpox	chickenpox	EFO_0007204
4	Ldl_direct	LDL cholesterol	EFO:0004195	37262146	UKB	402091.0	EUR	Population Q	Mixed Q/CC	65	ldl_direct	ldl cholesterol	ldl_direct	low density lipoprotein (ldl) cholesterol	low density lipoprotein cholesterol measurement	EFO_0004611
5	Arm_fat_percentage_right	body fat percentage	EFO:0007800	37262146	UKB	414672.0	EUR	Population Q	Mixed Q/CC	73	arm_fat_percentage_right	body fat percentage	arm_fat_percentage_right	body fat percentage	body fat percentage	EFO_0007800
6	Hip_circumference	hip circumference	EFO:0005093	37262146	UKB	421391.0	EUR	Population Q	Mixed Q/CC	77	hip_circumference	hip circumference	hip_circumference	hip circumference	hip circumference	OBA_1000032
7	Mean_sphered_cell_volume	mean corpuscular volume	EFO:0004526	37262146	UKB	402912.0	EUR	Population Q	Mixed Q/CC	78	mean_sphered_cell_volume	mean corpuscular volume	mean_sphered_cell_volume	mean corpuscular volume	erythrocyte volume	OBA_0003460
8	LDL-C	LDL cholesterol	EFO:0004195	36280733	Mixed	74962.0	EUR	Ascertained Q	Mixed N	235	ldl-c	ldl cholesterol	low density lipoprotein (ldl)-c	low density lipoprotein (ldl) cholesterol	low density lipoprotein cholesterol measurement	EFO_0004611
9	Blood RBC DISTRIB WIDTH	red blood cell distribution width	EFO:0005192	34226706	UKB	441263.0	EUR	Population Q		277	blood rbc distrib width	red blood cell distribution width	blood red blood cell count (rbc) distribution (distrib) width	red blood cell distribution width	red cell distribution width	EFO_0009188
10	Blood MEAN CORPUSCULAR VOL	mean corpuscular hemoglobin	EFO:0004527	34226706	UKB	444035.0	EUR	Population Q		278	blood mean corpuscular vol	mean corpuscular hemoglobin	blood mean corpuscular volume (vol)	mean corpuscular hemoglobin	mean corpuscular hemoglobin	EFO_0004527
11	Blood MEAN SPHERED CELL VOL	mean corpuscular volume	EFO:0004526	34226706	UKB	437736.0	EUR	Population Q		282	blood mean sphered cell vol	mean corpuscular volume	blood mean spherical diameter (sphered) cell volume (vol)	mean corpuscular volume	erythrocyte volume	OBA_0003460
12	Th[hyperthyroidism]	hyperthyroidism	EFO:0009189	34375979	UKB	281104.0	EUR	Population CC/Q		291	th[hyperthyroidism]	hyperthyroidism	th[hyperthyroidism]	hyperthyroidism	hyperthyroidism	EFO_0009189
13	C_reactive_protein measurement	C-reactive protein measurement	EFO:0004458	37262146	UKB	401986.0	EUR	Population Q	Mixed Q/CC	300	c_reactive_protein measurement	c-reactive protein measurement	c_reactive_protein measurement	c-reactive protein measurement	c-reactive protein measurement	EFO_0004458
14	Arm_fat_free_mass_right	fat body mass	EFO:0005409	37262146	UKB	414638.0	EUR	Population Q	Mixed Q/CC	308	arm_fat_free_mass_right	fat body mass	arm_fat_free_mass_right	fat body mass	fat pad mass	OBA_0004528
15	Other disorders affecting efunction	cardiovascular disease	EFO:0000319	34375979	UKB	281104.0	EUR	Population CC/Q		309	other disorders affecting efunction	cardiovascular disease	other disorders affecting efunction	cardiovascular disease	cardiovascular disease	EFO_0000319
16	Phe10_k80__bin	cholelithiasis	EFO:0004799	34662886	UKB	454787.0	EUR	Population Q	Separate File	314	phe10_k80__bin	cholelithiasis	phe10_k80__bin	cholelithiasis	cholelithiasis	EFO_0004799
17	K80_cholelithiasis	cholelithiasis	EFO:0004799	37262146	UKB	447189.0	EUR	Population Q	Mixed Q/CC	315	k80_cholelithiasis	cholelithiasis	k80_cholelithiasis	cholelithiasis	cholelithiasis	EFO_0004799
18	Cholelithiasis|gall stones	gallstones	EFO:0004210	34375979	UKB	281104.0	EUR	Population CC/Q		317	cholelithiasis|gall stones	gallstones	cholelithiasis|gall stones	gallstones	gallstones	EFO_0004210
19	Gall bladder disease	gallbladder disease	EFO:0003832	34375979	UKB	281104.0	EUR	Population CC/Q		320	gall bladder disease	gallbladder disease	gall bladder disease	gallbladder disease	gallbladder disease	EFO_0003832
20	Eof gall bladder	gallbladder disease	EFO:0003832	34375979	UKB	281104.0	EUR	Population CC/Q		323	eof gall bladder	gallbladder disease	eof gall bladder	gallbladder disease	gallbladder disease	EFO_0003832
21	Blood MEAN RETICULOCYTE VOL	mean reticulocyte volume	EFO:0010701	34226706	UKB	436944.0	EUR	Population Q		326	blood mean reticulocyte vol	mean reticulocyte volume	blood mean reticulocyte volume (vol)	mean reticulocyte volume	mean reticulocyte volume	EFO_0010701
22	Blood IMMATURE RETICULOCYTE FRAC	reticulocyte count	EFO:0007986	34226706	UKB	438154.0	EUR	Population Q		327	blood immature reticulocyte frac	reticulocyte count	blood immature reticulocyte fraction (frac)	reticulocyte count	reticulocyte count	EFO_0007986
23	Blood RETICULOCYTE COUNT	reticulocyte count	EFO:0007986	34226706	UKB	437291.0	EUR	Population Q		329	blood reticulocyte count	reticulocyte count	blood reticulocyte count	reticulocyte count	reticulocyte count	EFO_0007986
24	Mean_reticulocyte_volume	mean reticulocyte volume	EFO:0010701	37262146	UKB	402910.0	EUR	Population Q	Mixed Q/CC	332	mean_reticulocyte_volume	mean reticulocyte volume	mean_reticulocyte_volume	mean reticulocyte volume	mean reticulocyte volume	EFO_0010701
25	Biochemistry Phosphate	phosphate	CHEBI:26020	34226706	UKB	400159.0	EUR	Population Q		360	biochemistry phosphate	phosphate	biochemistry phosphate	phosphate	phosphate measurement	EFO_0010968
26	Secondarhnot elsewhere classified	cardiomyopathy	EFO:0000318	34375979	UKB	281104.0	EUR	Population CC/Q		366	secondarhnot elsewhere classified	cardiomyopathy	secondarhnot elsewhere classified	cardiomyopathy	cardiomyopathy	EFO_0000318
27	M10_gout	gout	EFO:0004274	37262146	UKB	436816.0	EUR	Population CC	Mixed Q/CC	374	m10_gout	gout	m10_gout	gout	gout	EFO_0004274
28	LDL-C	LDL cholesterol	EFO:0004195	36220816	TOPMed	66000.0	Mixed	Population Q		385	ldl-c	ldl cholesterol	low density lipoprotein (ldl)-c	low density lipoprotein (ldl) cholesterol	low density lipoprotein cholesterol measurement	EFO_0004611
29	Aortic (valve stenosis	aortic stenosis	EFO:0000266	34375979	UKB	281104.0	EUR	Population CC/Q		430	aortic (valve stenosis	aortic stenosis	aortic (valve stenosis	aortic stenosis	aortic stenosis	EFO_0000266
30	Blood MEAN CORPUSCULAR HEMOGLOBIN	mean corpuscular hemoglobin	EFO:0004527	34226706	UKB	443081.0	EUR	Population Q		435	blood mean corpuscular hemoglobin	mean corpuscular hemoglobin	blood mean corpuscular hemoglobin	mean corpuscular hemoglobin	mean corpuscular hemoglobin	EFO_0004527
31	Red blood cell (erythrocyte) distribution width	Red cell distribution width	EFO:0009188	36138231	UKB	162248.0	EUR	Population Q	Mixed Q/CC	438	red blood cell (erythrocyte) distribution width	red cell distribution width	red blood cell (erythrocyte) distribution width	red cell distribution width	red cell distribution width	EFO_0009188
32	Blood LYMPHOCYTE COUNT	lymphocyte count	EFO:0004587	34226706	UKB	443762.0	EUR	Population Q		451	blood lymphocyte count	lymphocyte count	blood lymphocyte count	lymphocyte count	lymphocyte count	EFO_0004587
33	Leg_fat_free_mass_right	fat body mass	EFO:0005409	37262146	UKB	414719.0	EUR	Population Q	Mixed Q/CC	473	leg_fat_free_mass_right	fat body mass	leg_fat_free_mass_right	fat body mass	fat pad mass	OBA_0004528
34	Special screening efor diabetes mellitus	diabetes mellitus	EFO:0000400	34375979	UKB	281104.0	EUR	Population CC/Q		499	special screening efor diabetes mellitus	diabetes mellitus	special screening efor diabetes mellitus	diabetes mellitus	diabetes mellitus	EFO_0000400
35	Irritable bowel swithout diarrhoea	irritable bowel syndrome	EFO:0000555	34375979	UKB	281104.0	EUR	Population CC/Q		504	irritable bowel swithout diarrhoea	irritable bowel syndrome	irritable bowel swithout diarrhoea	irritable bowel syndrome	irritable bowel syndrome	EFO_0000555
36	Blood MONOCYTE COUNT	monocyte count	EFO:0005091	34226706	UKB	443529.0	EUR	Population Q		507	blood monocyte count	monocyte count	blood monocyte count	monocyte count	monocyte count	EFO_0005091
37	Monocyte_count	monocyte count	EFO:0005091	37262146	UKB	409154.0	EUR	Population Q	Mixed Q/CC	508	monocyte_count	monocyte count	monocyte_count	monocyte count	monocyte count	EFO_0005091
38	Eosinophill count	granulocyte count	EFO:0007987	36138231	UKB	162010.0	EUR	Population Q	Mixed Q/CC	552	eosinophill count	granulocyte count	eosinophill count	granulocyte count	granulocyte count	EFO_0007987
39	Body waist-hip ratio BMI	BMI-adjusted waist-hip ratio	EFO:0007788	34226706	UKB	49960.0	EUR	Population Q		580	body waist-hip ratio bmi	bmi-adjusted waist-hip ratio	body waist-hip ratio body mass index (bmi)	body mass index (bmi)-adjusted waist-hip ratio	BMI-adjusted waist-hip ratio	EFO_0007788
