uuid	TraitR	TraitC	TRAIT
a77e7051-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004207	GCST001712_EFO_0004207	pathological myopia
a837d545-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004242	GCST90277983_EFO_0004242	obsessive-compulsive disorder
a8844798-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0003770	GCST007292_EFO_0003770	diabetic retinopathy
a8c23afa-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000538	GCST011205_EFO_0000538	hypertrophic cardiomyopathy
a8f9c5be-4ed4-11f0-a218-005056ae3c32	26736064_EFO_0000341	GCST90399695_EFO_0000341	chronic obstructive pulmonary disease
a92e6a51-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000537	GCST90446531_EFO_0000537	hypertension
a977a854-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000275	GCST90204201_EFO_0000275	atrial fibrillation
a9b06b97-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0008401	GCST005001_EFO_0008401	susceptibility to shingles measurement
aaa94a8a-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0006941	GCST005829_EFO_0006941	grip strength measurement
ab05744d-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004698	GCST90131901_EFO_0004698	insomnia
ab3fe53f-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000474	GCST012370_EFO_0000474	epilepsy
ab7414a2-4ed4-11f0-a218-005056ae3c32	34375979_HP_0100790	GCST90245894_HP_0100790	Hernia
abb90ce6-4ed4-11f0-a218-005056ae3c32	28900119_EFO_0001065	GCST90018839_EFO_0001065	endometriosis
abf52b89-4ed4-11f0-a218-005056ae3c32	34375979_HP_0000023	GCST90086087_HP_0000023	Inguinal hernia
ac2e8b0c-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0005041	GCST90018852_MONDO_0005041	glaucoma
ac685fbf-4ed4-11f0-a218-005056ae3c32	34375979_HP_0000360	GCST90428112_HP_0000360	Tinnitus
ad2b3a92-4ed4-11f0-a218-005056ae3c32	34131117_GO_0070527	GCST000693_GO_0070527	platelet aggregation
ad5e3174-4ed4-11f0-a218-005056ae3c32	37262146_EFO_0007800	GCST007064_EFO_0007800	body fat percentage
ad9c9a08-4ed4-11f0-a218-005056ae3c32	34375979_HP_0001082	GCST90018818_HP_0001082	Cholecystitis
adc8da2a-4ed4-11f0-a218-005056ae3c32	20549515_MONDO_0005148	GCST006867_MONDO_0005148	type 2 diabetes mellitus
adf652ce-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004269	GCST90013707_EFO_0004269	cardiac arrhythmia
ae213361-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000266	GCST90276156_EFO_0000266	aortic stenosis
ae55ff04-4ed4-11f0-a218-005056ae3c32	34375979_HP_0000483	GCST007158_HP_0000483	Astigmatism
ae894407-4ed4-11f0-a218-005056ae3c32	34375979_EFO_1001494	GCST90018907_EFO_1001494	psoriasis vulgaris
aebe84d9-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0002974	GCST90011816_MONDO_0002974	cervical cancer
af05c70d-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0005090	GCST003880_MONDO_0005090	schizophrenia
af375e5f-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004143	GCST007581_EFO_0004143	carpal tunnel syndrome
af69b903-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0007167	GCST011354_EFO_0007167	Bell's palsy
af96e386-4ed4-11f0-a218-005056ae3c32	34244158_MONDO_0005575	GCST90428118_MONDO_0005575	colorectal cancer
afbfa139-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0009819	GCST010989_EFO_0009819	comparative body size at age 10, self-reported
aff30d4c-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0002609	GCST90239777_EFO_0002609	juvenile idiopathic arthritis
b01e8a1f-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0003884	GCST008064_EFO_0003884	chronic kidney disease
b0491c92-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000668	GCST90271316_EFO_0000668	preeclampsia
b0789105-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0005129	GCST90137960_MONDO_0005129	cataract
b0a5e298-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0005178	GCST007093_MONDO_0005178	osteoarthritis
b0cfb1bb-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0003913	GCST90446533_EFO_0003913	angina pectoris
b0f70fde-4ed4-11f0-a218-005056ae3c32	31748686_MONDO_0008315	GCST90018905_MONDO_0008315	prostate cancer
b12ee8c1-4ed4-11f0-a218-005056ae3c32	36138231_MONDO_0004979	GCST009798_MONDO_0004979	asthma
b155f8c3-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0003819	GCST009269_EFO_0003819	dental caries
b17f79c7-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0003894	GCST90245818_EFO_0003894	acne
b1ad8eaa-4ed4-11f0-a218-005056ae3c32	34244158_MONDO_0008903	GCST90018875_MONDO_0008903	lung cancer
b1d8211d-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000649	GCST002126_EFO_0000649	periodontitis
b201c930-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0005938	GCST004719_EFO_0005938	congenital left-sided heart lesions
b2288b13-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004263	GCST000691_EFO_0004263	partial epilepsy
b2dbfc96-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000712	GCST006906_EFO_0000712	stroke
b328e419-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0003948	GCST011503_EFO_0003948	gastroesophageal reflux disease
b356f8fb-4ed4-11f0-a218-005056ae3c32	34375979_HP_0012115	GCST90276149_HP_0012115	Hepatitis
b381645e-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0007777	GCST009129_EFO_0007777	base metabolic rate measurement
b3ac1de1-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0009959	GCST008257_EFO_0009959	diverticular disease
b3d095d5-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0004986	GCST002243_MONDO_0004986	urinary bladder carcinoma
b3fb9d78-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004253	GCST90428893_EFO_0004253	nephrolithiasis
b42397db-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0005277	GCST003986_MONDO_0005277	migraine disorder
b4479a9e-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0003778	GCST003270_EFO_0003778	psoriatic arthritis
b46d2401-4ed4-11f0-a218-005056ae3c32	34375979_HP_0000964	GCST009718_HP_0000964	Eczematoid dermatitis
b4976854-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0007915	GCST90100586_MONDO_0007915	systemic lupus erythematosus
b4c29707-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000284	GCST008169_EFO_0000284	benign prostatic hyperplasia
b4ee890a-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004705	GCST90018862_EFO_0004705	hypothyroidism
b518f46d-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004208	GCST90455548_EFO_0004208	Vitiligo
b543fc10-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0004289	GCST90011814_EFO_0004289	lymphoid leukemia
b569ac83-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0006812	GCST90454273_EFO_0006812	autoimmune thyroid disease
b58e4b86-4ed4-11f0-a218-005056ae3c32	34375979_EFO_1000860	GCST90134619_EFO_1000860	cerebral atherosclerosis
b5b05279-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0009189	GCST90018860_EFO_0009189	hyperthyroidism
b5d20b4c-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000707	GCST008872_EFO_0000707	squamous cell carcinoma
b5f8f43f-4ed4-11f0-a218-005056ae3c32	34375979_HP_0002321	GCST90432100_HP_0002321	Vertigo
b61fb622-4ed4-11f0-a218-005056ae3c32	31367044_EFO_0010117	GCST90269569_EFO_0010117	pyruvate measurement
b6423245-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0021108	GCST90276150_MONDO_0021108	meningitis
b668a608-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0024647	GCST90013719_MONDO_0024647	urolithiasis
b68be57b-4ed4-11f0-a218-005056ae3c32	34375979_HP_0002315	GCST005337_HP_0002315	Headache
b6b7895e-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0019338	GCST90018918_MONDO_0019338	sarcoidosis
b6df0e91-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0008414	GCST005016_EFO_0008414	susceptibility to measles measurement
b710f404-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000274	GCST90013680_EFO_0000274	atopic eczema
b7367d67-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000729	GCST90454275_EFO_0000729	ulcerative colitis
b75db47a-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0001823	GCST90225551_MONDO_0001823	sick sinus syndrome
b783b30d-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0003144	GCST009541_EFO_0003144	heart failure
b7ae1e70-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0005147	GCST90018925_MONDO_0005147	type 1 diabetes mellitus
