	Reported Trait	DISEASE/TRAIT	MAPPED_TRAIT_CLEAN_C	MAPPED_TRAIT_CLEAN_R	trait_type	Domain	Cosine_R	Cosine_C	CosineRC	Keep
185	Triglycerides to Total Lipids in Very Large VLDL percentage	Triglycerides to total lipids in very large VLDL percentage (UKB data field 23588)	triglycerides to total lipids in very large VLDL percentage	triglycerides to total lipids in very large VLDL percentage	Q	Lipid Measurement	0.99840146	0.9444227	0.94442296	1
186	Free Cholesterol to Total Lipids in Medium HDL percentage	Free cholesterol to total lipids in medium HDL percentage (UKB data field 23642)	free cholesterol to total lipids in medium HDL percentage	free cholesterol to total lipids in medium HDL percentage	Q	Lipid Measurement	0.9984868	0.9436853	0.9436855	1
187	Free Cholesterol to Total Lipids in Large HDL percentage	Free cholesterol to total lipids in large HDL percentage (UKB data field 23637)	free cholesterol to total lipids in large HDL percentage	free cholesterol to total lipids in large HDL percentage	Q	Lipid Measurement	0.99847484	0.9435158	0.9435156	1
188	Cholesterol to Total Lipids in Medium VLDL percentage	Cholesterol to total lipids in medium VLDL percentage (UKB data field 23595)	cholesterol to total lipids in medium VLDL percentage	cholesterol to total lipids in medium VLDL percentage	Q	Lipid Measurement	0.9980135	0.94330055	0.94330037	1
189	Triglycerides to Total Lipids in Small VLDL percentage	Triglycerides to total lipids in small VLDL percentage (UKB data field 23603)	triglycerides to total lipids in small VLDL percentage	triglycerides to total lipids in small VLDL percentage	Q	Lipid Measurement	0.99839306	0.94317067	0.9431708	1
190	Triglycerides to Total Lipids in Very Large HDL percentage	Triglycerides to total lipids in very large HDL percentage (UKB data field 23633)	triglycerides to total lipids in very large HDL percentage	triglycerides to total lipids in very large HDL percentage	Q	Lipid Measurement	0.99862707	0.9431566	0.9431566	1
191	Triglycerides in IDL measurement	Triglycerides in IDL	triglycerides in IDL measurement	triglycerides in IDL measurement	Q	Lipid Measurement	0.9976486	0.94296503	0.9429647	1
192	Triglycerides in Very Small VLDL measurement	Triglycerides in very small VLDL	triglycerides in very small VLDL measurement	triglycerides in very small VLDL measurement	Q	Lipid Measurement	0.9984353	0.94223106	0.94223106	1
193	Triglycerides to Total Lipids in Medium HDL percentage	Triglycerides to total lipids in medium HDL percentage (UKB data field 23643)	triglycerides to total lipids in medium HDL percentage	triglycerides to total lipids in medium HDL percentage	Q	Lipid Measurement	0.9986267	0.94196904	0.94196904	1
194	Triglycerides to Total Lipids in IDL percentage	Triglycerides to total lipids in IDL percentage (UKB data field 23613)	triglycerides to total lipids in IDL percentage	triglycerides to total lipids in IDL percentage	Q	Lipid Measurement	0.9981593	0.941885	0.941885	1
195	Non-hodgkin's lunspecified type	Non-Hodgkin's lymphoma	non-Hodgkins lymphoma	non-hodgkins lymphoma	CC	Neoplasm	0.39905617	0.9414314	0.393299	1
196	Free Cholesterol to Total Lipids in Small VLDL percentage	Free cholesterol to total lipids in small VLDL percentage (UKB data field 23602)	free cholesterol to total lipids in small VLDL percentage	free cholesterol to total lipids in small VLDL percentage	Q	Lipid Measurement	0.99808806	0.94142765	0.9414278	1
197	Triglycerides to Total Lipids in Large HDL percentage	Triglycerides to total lipids in large HDL percentage (UKB data field 23638)	triglycerides to total lipids in large HDL percentage	triglycerides to total lipids in large HDL percentage	Q	Lipid Measurement	0.9986423	0.94114196	0.9411421	1
198	Triglycerides in Small LDL	Triglycerides in small LDL	triglycerides in small LDL measurement	triglycerides in small LDL measurement	Q	Lipid Measurement	0.9387883	0.9402733	1.0000001	1
199	Free Cholesterol to Total Lipids in Medium LDL percentage	Free cholesterol to total lipids in medium LDL percentage (UKB data field 23622)	free cholesterol to total lipids in medium LDL percentage	free cholesterol to total lipids in medium LDL percentage	Q	Lipid Measurement	0.99839556	0.9401617	0.94016176	1
200	Total Lipids in Very Large VLDL	Total lipids in very large VLDL	total lipids in very large VLDL measurement	total lipids in very large VLDL measurement	Q	Lipid Measurement	0.9375845	0.93986654	1	1
201	Total Lipids in Small HDL	Total lipids in small HDL	total lipids in small HDL measurement	total lipids in small HDL measurement	Q	Lipid Measurement	0.94095194	0.9392459	1	1
202	Free Cholesterol in Medium VLDL measurement	Free cholesterol in medium VLDL	free cholesterol in medium VLDL measurement	free cholesterol in medium VLDL measurement	Q	Lipid Measurement	0.9983487	0.9390191	0.9390191	1
203	Free Cholesterol in Medium HDL measurement	Free cholesterol in medium HDL	free cholesterol in medium HDL measurement	free cholesterol in medium HDL measurement	Q	Lipid Measurement	0.998498	0.9389955	0.9389955	1
204	Total Lipids in Very Large HDL	Total lipids in very large HDL	total lipids in very large HDL measurement	total lipids in very large HDL measurement	Q	Lipid Measurement	0.9370036	0.93895876	1.0000004	1
205	Triglycerides to Total Lipids in Small LDL percentage	Triglycerides to total lipids in small LDL percentage (UKB data field 23628)	triglycerides to total lipids in small LDL percentage	triglycerides to total lipids in small LDL percentage	Q	Lipid Measurement	0.9984926	0.93887246	0.93887246	1
206	Free Cholesterol to Total Lipids in Small LDL percentage	Free cholesterol to total lipids in small LDL percentage (UKB data field 23627)	free cholesterol to total lipids in small LDL percentage	free cholesterol to total lipids in small LDL percentage	Q	Lipid Measurement	0.99826837	0.9383524	0.9383524	1
207	Free Cholesterol to Total Lipids in IDL percentage	Free cholesterol to total lipids in IDL percentage (UKB data field 23612)	free cholesterol to total lipids in IDL percentage	free cholesterol to total lipids in IDL percentage	Q	Lipid Measurement	0.9978191	0.9375499	0.9375499	1
208	Triglycerides to Total Lipids in Small HDL percentage	Triglycerides to total lipids in small HDL percentage (UKB data field 23648)	triglycerides to total lipids in small HDL percentage	triglycerides to total lipids in small HDL percentage	Q	Lipid Measurement	0.99853384	0.93733954	0.93733954	1
209	Triglycerides in Very Large VLDL measurement	Triglycerides in very large VLDL	triglycerides in very large VLDL measurement	triglycerides in very large VLDL measurement	Q	Lipid Measurement	0.99846333	0.9372648	0.9372648	1
210	Free Cholesterol to Total Lipids in Small HDL percentage	Free cholesterol to total lipids in small HDL percentage (UKB data field 23647)	free cholesterol to total lipids in small HDL percentage	free cholesterol to total lipids in small HDL percentage	Q	Lipid Measurement	0.99835944	0.9367107	0.9367107	1
211	Free Cholesterol to Total Lipids in Large LDL percentage	Free cholesterol to total lipids in large LDL percentage (UKB data field 23617)	free cholesterol to total lipids in large LDL percentage	free cholesterol to total lipids in large LDL percentage	Q	Lipid Measurement	0.9982952	0.9365144	0.9365144	1
212	Ovarian cancer	Ovarian cancer	ovarian carcinoma	ovarian carcinoma	CC	Neoplasm	0.9350095	0.9350095	1.0000005	1
213	Cholesterol to Total Lipids in IDL percentage	Cholesterol to total lipids in IDL percentage (UKB data field 23610)	cholesterol to total lipids in IDL percentage	cholesterol to total lipids in IDL percentage	Q	Lipid Measurement	0.99760735	0.9349127	0.9349127	1
214	Free Cholesterol in IDL measurement	Free cholesterol in IDL	free cholesterol in IDL measurement	free cholesterol in IDL measurement	Q	Lipid Measurement	0.9972435	0.93490696	0.9349068	1
215	Cholesterol to Total Lipids in Large VLDL percentage	Cholesterol to total lipids in large VLDL percentage (UKB data field 23590)	cholesterol to total lipids in large VLDL percentage	cholesterol to total lipids in large VLDL percentage	Q	Lipid Measurement	0.9981314	0.9344512	0.9344512	1
216	Cholesterol to Total Lipids in Small VLDL percentage	Cholesterol to total lipids in small VLDL percentage (UKB data field 23600)	cholesterol to total lipids in small VLDL percentage	cholesterol to total lipids in small VLDL percentage	Q	Lipid Measurement	0.9981158	0.9339851	0.9339851	1
217	Triglycerides to Total Lipids in Large LDL percentage	Triglycerides to total lipids in large LDL percentage (UKB data field 23618)	triglycerides to total lipids in large LDL percentage	triglycerides to total lipids in large LDL percentage	Q	Lipid Measurement	0.9985251	0.9339344	0.9339344	1
218	Triglycerides in Large LDL	Triglycerides in large LDL	triglycerides in large LDL measurement	triglycerides in large LDL measurement	Q	Lipid Measurement	0.93189615	0.93300784	0.9999999	1
219	Free Cholesterol in Small VLDL measurement	Free cholesterol in small VLDL	free cholesterol in small VLDL measurement	free cholesterol in small VLDL measurement	Q	Lipid Measurement	0.99840295	0.93242586	0.93242586	1
220	Phospholipids in Medium LDL	Phospholipids in medium LDL	phospholipids in medium LDL measurement	phospholipids in medium LDL measurement	Q	Lipid Measurement	0.93082064	0.9320277	1.0000004	1
221	Free Cholesterol in Medium LDL	Free cholesterol in medium LDL	free cholesterol in medium LDL measurement	free cholesterol in medium LDL measurement	Q	Lipid Measurement	0.9297831	0.93181944	0.9999998	1
222	Free Cholesterol in Small HDL measurement	Free cholesterol in small HDL	free cholesterol in small HDL measurement	free cholesterol in small HDL measurement	Q	Lipid Measurement	0.9983748	0.93138814	0.93138814	1
223	Free Cholesterol to Total Lipids in Very Large HDL percentage	Free cholesterol to total lipids in very large HDL percentage (UKB data field 23632)	free cholesterol to total lipids in very large HDL percentage	free cholesterol to total lipids in very large HDL percentage	Q	Lipid Measurement	0.99818826	0.9310287	0.9310287	1
224	Cholesterol to Total Lipids in Small HDL percentage	Cholesterol to total lipids in small HDL percentage (UKB data field 23645)	cholesterol to total lipids in small HDL percentage	cholesterol to total lipids in small HDL percentage	Q	Lipid Measurement	0.99822676	0.9299934	0.9299936	1
225	Cholesterol to Total Lipids in Medium HDL percentage	Cholesterol to total lipids in medium HDL percentage (UKB data field 23640)	cholesterol to total lipids in medium HDL percentage	cholesterol to total lipids in medium HDL percentage	Q	Lipid Measurement	0.99828696	0.9295461	0.9295461	1
226	Cholesterol to Total Lipids in Large HDL percentage	Cholesterol to total lipids in large HDL percentage (UKB data field 23635)	cholesterol to total lipids in large HDL percentage	cholesterol to total lipids in large HDL percentage	Q	Lipid Measurement	0.99833786	0.9294033	0.9294033	1
227	Cholesterol to Total Lipids in Very Large HDL percentage	Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)	cholesterol to total lipids in very large HDL percentage	cholesterol to total lipids in very large HDL percentage	Q	Lipid Measurement	0.99819547	0.92829674	0.92829674	1
228	Free Cholesterol in Very Small VLDL measurement	Free cholesterol in very small VLDL	free cholesterol in very small VLDL measurement	free cholesterol in very small VLDL measurement	Q	Lipid Measurement	0.99809885	0.92811847	0.92811847	1
229	Phospholipids in IDL measurement	Phospholipids in IDL	phospholipids in IDL measurement	phospholipids in IDL measurement	Q	Lipid Measurement	0.9970356	0.92712665	0.92712665	1
230	Cholesterol in Very Small VLDL measurement	Total cholesterol in very small VLDL	cholesterol in very small VLDL measurement	cholesterol in very small VLDL measurement	Q	Lipid Measurement	0.9982511	0.9264411	0.926441	1
231	Free Cholesterol in Large HDL measurement	Free cholesterol in large HDL	free cholesterol in large HDL measurement	free cholesterol in large HDL measurement	Q	Lipid Measurement	0.9983999	0.9263302	0.9263305	1
232	Free Cholesterol in Large VLDL measurement	Free cholesterol in large VLDL	free cholesterol in large VLDL measurement	free cholesterol in large VLDL measurement	Q	Lipid Measurement	0.99833626	0.92620945	0.92620945	1
233	Total Lipids in Medium LDL	Total lipids in medium LDL (UKB data field 23538)	total lipids in medium LDL	total lipids in medium LDL	Q	Lipid Measurement	0.99691844	0.9260655	0.92606556	1
234	Heart arrhythmia	Arrhythmia	cardiac arrhythmia	cardiac arrhythmia	CC	Cardiovascular	0.97944045	0.9258577	0.92837274	1
235	Phospholipids in Small LDL	Phospholipids in small LDL	phospholipids in small LDL measurement	phospholipids in small LDL measurement	Q	Lipid Measurement	0.9243777	0.92485404	1	1
236	Cholesterol to Total Lipids in Medium LDL percentage	Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)	cholesterol to total lipids in medium LDL percentage	cholesterol to total lipids in medium LDL percentage	Q	Lipid Measurement	0.9980974	0.9245235	0.9245235	1
237	Free Cholesterol in Small LDL	Free cholesterol in small LDL	free cholesterol in small LDL measurement	free cholesterol in small LDL measurement	Q	Lipid Measurement	0.9221419	0.9236641	1	1
238	Cholesterol to Total Lipids in Small LDL percentage	Cholesterol to total lipids in small LDL percentage (UKB data field 23625)	cholesterol to total lipids in small LDL percentage	cholesterol to total lipids in small LDL percentage	Q	Lipid Measurement	0.99807435	0.92285776	0.92285776	1
239	Free Cholesterol in Very Large HDL measurement	Free cholesterol in very large HDL	free cholesterol in very large HDL measurement	free cholesterol in very large HDL measurement	Q	Lipid Measurement	0.9985409	0.92235565	0.9223556	1
240	Free Cholesterol in Very Large VLDL measurement	Free cholesterol in very large VLDL	free cholesterol in very large VLDL measurement	free cholesterol in very large VLDL measurement	Q	Lipid Measurement	0.99810374	0.9223231	0.9223231	1
241	Cholesterol to Total Lipids in Large LDL percentage	Cholesterol to total lipids in large LDL percentage (UKB data field 23615)	cholesterol to total lipids in large LDL percentage	cholesterol to total lipids in large LDL percentage	Q	Lipid Measurement	0.99802816	0.92175984	0.92175984	1
242	Docosahexaenoic Acid to Total Fatty Acids percentage	Docosahexaenoic acid to total fatty acids percentage (UKB data field 23457)	docosahexaenoic acid to total fatty acids percentage	docosahexaenoic acid to total fatty acids percentage	Q	Lipid Measurement	1	0.92170024	0.92170024	1
243	Generalised idiopathic epilepsand epileptic syndromes	Generalized epilepsy	generalised epilepsy	generalised epilepsy	CC	Neurological	0.68621683	0.92100906	0.66379905	1
244	Recurrent depressive disorder	Major depressive disorder (broad)	major depressive disorder	major depressive disorder	CC	Psychiatric	0.8142196	0.91964954	0.7575373	1
245	Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio	Polyunsaturated fatty acids to monounsaturated fatty acids ratio (UKB data field 23458)	polyunsaturated fatty acids to monounsaturated fatty acids ratio	polyunsaturated fatty acids to monounsaturated fatty acids ratio	Q	Lipid Measurement	1	0.9191768	0.91917676	1
246	Free Cholesterol in Large LDL	Free cholesterol in large LDL	free cholesterol in large LDL measurement	free cholesterol in large LDL measurement	Q	Lipid Measurement	0.9150804	0.9162308	1	1
247	Phospholipids in Large LDL	Phospholipids in large LDL	phospholipids in large LDL measurement	phospholipids in large LDL measurement	Q	Lipid Measurement	0.9144818	0.91536593	0.9999999	1
248	Saturated Fatty Acids to Total Fatty Acids percentage	Saturated fatty acids to total fatty acids percentage (UKB data field 23455)	saturated fatty acids to total fatty acids percentage	saturated fatty acids to total fatty acids percentage	Q	Lipid Measurement	0.9999999	0.91053843	0.91053843	1
249	Polyunsaturated Fatty Acids to Total Fatty Acids percentage	Polyunsaturated fatty acids to total fatty acids percentage (UKB data field 23453)	polyunsaturated fatty acids to total fatty acids percentage	polyunsaturated fatty acids to total fatty acids percentage	Q	Lipid Measurement	1.0000004	0.9103377	0.9103377	1
250	SHBG measurement	Sex hormone-binding globulin levels	sex hormone-binding globulin measurement	sex hormone-binding globulin measurement	Q	Endocrine	0.9384755	0.9094652	0.8421787	1
251	Triglycerides in HDL measurement	Triglycerides in HDL (UKB data field 23410)	triglycerides in HDL measurement	triglycerides in HDL measurement	Q	Lipid Measurement	0.9986354	0.9092443	0.9092443	1
252	Migraine	Migraine	migraine disorder	migraine disorder	CC	Neurological	0.90863645	0.9086365	1	1
253	Spinal stenosis	Spinal canal stenosis	spinal stenosis	spinal stenosis	CC	Skeletal	1	0.9082782	0.9082782	1
254	Free Cholesterol in VLDL measurement	Free cholesterol in VLDL (UKB data field 23420)	free cholesterol in VLDL measurement	free cholesterol in VLDL measurement	Q	Lipid Measurement	0.99838626	0.902143	0.9021429	1
255	Sleep apnoea	Sleep apnea syndrome	sleep apnea	sleep apnea	CC	Neurological	0.66809833	0.9014576	0.56922424	1
256	Fev1/ fvc ratio z-score	Lung function (FEV1/FVC)	FEV/FVC ratio	fev/fec ratio	Q	Respiratory	0.65935874	0.900171	0.46670988	1
257	Cholesterol in Medium VLDL measurement	Cholesterol in medium VLDL (UKB data field 23505)	cholesterol in medium VLDL measurement	cholesterol in medium VLDL measurement	Q	Lipid Measurement	0.99825513	0.8988621	0.89886177	1
258	Free Cholesterol in HDL measurement	Free cholesterol in HDL (UKB data field 23422)	free cholesterol in HDL measurement	free cholesterol in HDL measurement	Q	Lipid Measurement	0.99835753	0.89846486	0.898465	1
259	Hepatitis b	Hepatitis B	hepatitis B virus infection	hepatitis B virus infection	CC	Infection	0.8976259	0.89762586	0.99999994	1
260	Cholesterol in IDL measurement	Cholesterol in IDL (UKB data field 23526)	cholesterol in IDL measurement	cholesterol in IDL measurement	Q	Lipid Measurement	0.9967917	0.8973421	0.8973422	1
261	Nasal polyp	Nasal polyps	Nasal cavity polyp	nasal cavity polyp	CC	EarNoseThroat	0.9375088	0.8970323	0.9517805	1
262	Phospholipids in Very Large VLDL measurement	Phospholipids in very large VLDL (UKB data field 23490)	phospholipids in very large VLDL measurement	phospholipids in very large VLDL measurement	Q	Lipid Measurement	0.99831367	0.89601564	0.89601564	1
263	Cholesterol in Medium HDL measurement	Cholesterol in medium HDL (UKB data field 23568)	cholesterol in medium HDL measurement	cholesterol in medium HDL measurement	Q	Lipid Measurement	0.99818796	0.89541215	0.8954121	1
264	Fibrosis and cirrhosis of liver	Cirrhosis	cirrhosis of liver	cirrhosis of liver	CC	Hepatic	0.8111676	0.8925115	0.6958245	1
265	Cholesterol in Large VLDL measurement	Cholesterol in large VLDL (UKB data field 23498)	cholesterol in large VLDL measurement	cholesterol in large VLDL measurement	Q	Lipid Measurement	0.9981048	0.89098775	0.8909879	1
266	Infectious mononucleosis	Mononucleosis	infectious mononucleosis	infectious mononucleosis	CC	Infection	1.0000002	0.8906692	0.89066905	1
267	Cholesterol in Very Large VLDL measurement	Cholesterol in very large VLDL (UKB data field 23491)	cholesterol in very large VLDL measurement	cholesterol in very large VLDL measurement	Q	Lipid Measurement	0.9980614	0.8898852	0.8898852	1
268	Cholesterol in Small VLDL measurement	Cholesterol in small VLDL (UKB data field 23512)	cholesterol in small VLDL measurement	cholesterol in small VLDL measurement	Q	Lipid Measurement	0.99828684	0.88892096	0.8889209	1
269	Phospholipids in Very Small VLDL measurement	Phospholipids in very small VLDL (UKB data field 23518)	phospholipids in very small VLDL measurement	phospholipids in very small VLDL measurement	Q	Lipid Measurement	0.9984733	0.8877624	0.8877624	1
270	Phospholipids in HDL measurement	Phospholipids in HDL (UKB data field 23414)	phospholipids in HDL measurement	phospholipids in HDL measurement	Q	Lipid Measurement	0.99824774	0.88744104	0.88744116	1
271	Basophil percentage (30220)	Basophil percentage of white cells	basophil percentage of leukocytes	basophil percentage of leukocytes	Q	Immunological	0.799153	0.88406885	0.81330943	1
272	Vitamin d deficiency	Vitamin D insufficiency	vitamin D deficiency	vitamin D deficiency	CC	Metabolic	1	0.8833738	0.8833738	1
273	Postprocedural respiratory disorders| not elsewhere classified	Respiratory diseases	respiratory system disease	respiratory system disease	CC	Respiratory	0.71539056	0.88255394	0.7619219	0
274	Cholesterol in Very Large HDL measurement	Cholesterol in very large HDL (UKB data field 23554)	cholesterol in very large HDL measurement	cholesterol in very large HDL measurement	Q	Lipid Measurement	0.99824303	0.8822384	0.8822384	1
275	Eosinophill percentage	Eosinophil percentage of white cells	eosinophil percentage of leukocytes	eosinophil percentage of leukocytes	Q	Immunological	0.773128	0.88126326	0.79525566	1
276	Apolipoprotein b measurement	Apolipoprotein B levels	apolipoprotein B measurement	apolipoprotein B measurement	Q	Lipid Measurement	1.0000001	0.880414	0.88041407	1
277	Lichen planus	Non-oral lichen planus	lichen planus	lichen planus	CC	Dermatological	1.0000001	0.87902987	0.87903005	1
278	Fracture	Fractures	bone fracture	bone fracture	CC	Skeletal	0.87532413	0.8785972	0.93252265	1
279	Preeclampsia| unspecified	Preeclampsia or eclampsia	preeclampsia	preeclampsia	CC	Reproductive	0.91880476	0.87835294	0.8060175	1
280	Cholesterol in Small HDL measurement	Cholesterol in small HDL (UKB data field 23575)	cholesterol in small HDL measurement	cholesterol in small HDL measurement	Q	Lipid Measurement	0.9980384	0.87834704	0.8783469	1
281	Cholesterol in Large HDL measurement	Cholesterol in large HDL (UKB data field 23561)	cholesterol in large HDL measurement	cholesterol in large HDL measurement	Q	Lipid Measurement	0.99807775	0.87784636	0.87784624	1
282	Pulse pressure measurement	Pulse pressure	pulse pressure measurement	pulse pressure measurement	Q	Cardiovascular	1.0000001	0.87652147	0.8765216	1
283	Weight	Weight	body weight	body weight	Q	Anthropometric	0.8755511	0.8755511	1.0000004	1
284	Alcoholic cirrhosis of liver	Cirrhosis (alcohol related)	alcoholic liver cirrhosis	alcoholic liver cirrhosis	CC	Hepatic	0.9841516	0.87536865	0.87528706	1
285	Sequelae of injuries of neck and trunk	Cutaneous melanoma (MTAG)	cutaneous melanoma	cutaneous melanoma	CC	Neoplasm	0.19981948	0.8737914	0.15156141	0
286	Ldl direct measurement	Low density lipoprotein cholesterol levels	low density lipoprotein cholesterol measurement	low density lipoprotein cholesterol measurement	Q	Lipid Measurement	0.5009425	0.8726377	0.36258703	1
287	Comparative height size at age 10 - shorter (1697)	Body size at age 10	comparative body size at age 10, self-reported	comparative body size at age 10, self-reported	Q	Anthropometric	0.7214872	0.872139	0.6610613	1
288	Neutrophill percentage	Neutrophil percentage of white cells	neutrophil percentage of leukocytes	neutrophil percentage of leukocytes	Q	Immunological	0.53186846	0.8704676	0.48150682	1
289	Aspartate aminotransferase measurement	Aspartate aminotransferase levels	aspartate aminotransferase measurement	aspartate aminotransferase measurement	Q	Metabolic	1	0.8700095	0.8700094	1
290	Biochemistry Gamma Glutamyl transferase measurement	Gamma glutamyl transferase levels	serum gamma-glutamyl transferase measurement	serum gamma-glutamyl transferase measurement	Q	Hepatic	0.9388088	0.8625721	0.8881352	1
291	Bladder cancer	Bladder cancer	urinary bladder carcinoma	urinary bladder carcinoma	CC	Neoplasm	0.8624908	0.8624909	1	1
292	Saturated Fatty Acids	Saturated fatty acids	saturated fatty acids measurement	saturated fatty acids measurement	Q	Lipid Measurement	0.86118996	0.86118996	1	1
293	Microalbumin_in_urine measurement	Urinary microalbumin levels	urinary microalbumin measurement	urinary microalbumin measurement	Q	Renal	0.8914851	0.8586916	0.7988545	1
294	Cholesterol	Total cholesterol levels	total cholesterol measurement	total cholesterol measurement	Q	Lipid Measurement	0.72265565	0.8559607	0.74170256	1
295	Other congenital malformations of heart	Conotruncal heart defects	conotruncal heart malformations	conotruncal heart malformations	CC	Cardiovascular	0.77236843	0.85586274	0.67302364	0
296	Total Esterified Cholesterol to Total Lipids percentage	Esterified cholesterol levels	esterified cholesterol measurement	esterified cholesterol measurement	Q	Lipid Measurement	0.7468957	0.855085	0.75049955	1
297	Malignant neoplasm of ovary	Epithelial ovarian cancer	malignant epithelial tumor of ovary	malignant epithelial tumor of ovary	CC	Neoplasm	0.8746234	0.85257107	0.72192633	1
298	Corneal resistance factor (left)	Corneal resistance factor (MTAG)	corneal resistance factor	corneal resistance factor	Q	Opthamological	0.9087734	0.8505132	0.77916586	1
299	Lymphocyte percentage	Lymphocyte percentage of white cells	lymphocyte percentage of leukocytes	lymphocyte percentage of leukocytes	Q	Immunological	0.87262124	0.84936225	0.82955563	1
300	Blood HEMOGLOBIN measurement	Hemoglobin concentration	hemoglobin measurement	hemoglobin measurement	Q	Hematological	0.96943057	0.8493238	0.8175863	1
301	Congenital malformations of spine and bony thorax	Diffuse idiopathic skeletal hyperostosis flow score	diffuse idiopathic skeletal hyperostosis	diffuse idiopathic skeletal hyperostosis	CC	Skeletal	0.39147547	0.8484163	0.22936183	0
302	Hand_grip_strength_right measurement	Hand grip strength	grip strength measurement	grip strength measurement	Q	Muscular	0.85551506	0.8455305	0.78584266	1
303	Heel_bone_mineral_density_bmd_t_score_automated	Heel bone mineral density T score	heel bone mineral density	heel bone mineral density	Q	Skeletal	0.5857698	0.84482324	0.7462893	1
304	Rectal cancer	Rectal cancer	rectum cancer	rectum cancer	CC	Neoplasm	0.84294456	0.84294456	1.0000002	1
305	Monocyte percentage	Monocyte percentage of white cells	monocyte percentage of leukocytes	monocyte percentage of leukocytes	Q	Immunological	0.7818872	0.84251714	0.7783129	1
306	Platelet crit	Plateletcrit	platelet crit	platelet crit	Q	Hematological	1.0000001	0.841635	0.84163505	1
307	Hdl cholesterol measurement	HDL cholesterol levels	HDL cholesterol change measurement	hdl cholesterol change measurement	Q	Lipid Measurement	0.93229854	0.84022176	0.8142341	1
308	Peritonsillar abscess	ICD10 J36: Peritonsillar abscess	peritonsillar abscess	peritonsillar abscess	CC	EarNoseThroat	1.0000002	0.83992386	0.83992374	1
309	Phosphatidylcholines measurement	Phosphatidylcholine levels	phosphatidylcholine measurement	phosphatidylcholine measurement	Q	Metabolic	0.9944736	0.83759993	0.8497952	1
310	Vasculitis	Vasculitis (pleiotropy)	vasculitis	vasculitis	CC	Cardiovascular	1	0.8365114	0.8365114	1
311	Cholelithiasis|gall stones	Gallstone disease	gallstones	gallstones	CC	Gastrointestinal	0.77490604	0.8321194	0.7903611	1
312	Haallergic rhinitis or eczema	Atopic dermatitis	atopic eczema	atopic eczema	CC	Dermatological	0.66164446	0.83012134	0.5384985	1
313	Apolipoprotein A1 measurement	Apolipoprotein A1 levels	apolipoprotein a 1 measurement	apolipoprotein a 1 measurement	Q	Lipid Measurement	0.9272748	0.82472897	0.89836395	1
314	Triglycerides measurement	Triglyceride levels	triglyceride measurement	triglyceride measurement	Q	Lipid Measurement	0.9784649	0.82297885	0.79666907	1
315	PYR measurement	Pyruvate levels	pyruvate measurement	pyruvate measurement	Q	Metabolic	0.97894883	0.8229064	0.79152155	1
316	C-reactive protein measurement	C-reactive protein levels	c-reactive protein measurement	c-reactive protein measurement	Q	Hepatic	1.0000001	0.8223367	0.82233655	1
317	Alkaline phosphatase measurement	Serum alkaline phosphatase levels	alkaline phosphatase measurement	alkaline phosphatase measurement	Q	Metabolic	1	0.82139176	0.8213916	1
318	Omega-6 Fatty Acids to Polyunsaturated Fatty Acids percentage measurement	Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)	omega-6 polyunsaturated fatty acid measurement	omega-6 polyunsaturated fatty acid measurement	Q	Lipid Measurement	0.92893785	0.8210083	0.7845612	1
319	Hof prostate	Prostate cancer (advanced)	prostate carcinoma	prostate carcinoma	CC	Neoplasm	0.6324093	0.82031965	0.6078534	1
320	Body mass index	Body mass index (MTAG)	body mass index	body mass index	Q	Anthropometric	1.0000001	0.8198094	0.8198094	1
321	Acne	Acne (severe)	acne	acne	CC	Dermatological	1.0000001	0.8195231	0.8195231	1
322	Vitamin d measurement	Vitamin D levels	vitamin D measurement	vitamin D measurement	Q	Metabolic	1	0.8195174	0.8195174	1
323	Polyunsaturated Fatty Acids measurement	Polyunsaturated fatty acids	polyunsaturated fatty acid measurement	polyunsaturated fatty acid measurement	Q	Lipid Measurement	0.98181415	0.8182773	0.86429536	1
324	PHE measurement	Phenylalanine levels	phenylalanine measurement	phenylalanine measurement	Q	Metabolic	0.9539628	0.8164743	0.74486446	1
325	Hernia	Hernia (any subtypes)	Hernia	Hernia	CC	Muscular	1.0000004	0.8151173	0.81511736	1
326	Forced expiratory volume in 1-second (fev1)| predicted	FEV1	forced expiratory volume	forced expiratory volume	Q	Respiratory	0.7514711	0.8100663	0.88493896	1
327	Coxarthrosis [arthrosis of hip])	Non-surgical hip osteoarthritis	osteoarthritis, hip	osteoarthritis, hip	CC	Skeletal	0.7170415	0.8098905	0.63315284	1
328	Other proliferative retinopathy	Proliferative diabetic retinopathy (vs NPDR and no DR)	proliferative diabetic retinopathy	proliferative diabetic retinopathy	CC	Opthamological	0.8108374	0.8078178	0.6656822	1
329	Obesity	Obesity (extreme)	obesity	obesity	CC	Anthropometric	1	0.8053082	0.8053082	1
330	Icd10 c91: lymphoid leukemia	Lymphocytic leukemia	lymphoid leukemia	lymphoid leukemia	CC	Neoplasm	0.6635034	0.80489516	0.59091544	1
331	Astigmatism	Refractive astigmatism	astigmatism	astigmatism	CC	Opthamological	1.0000001	0.8038332	0.8038332	1
